股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
1809,中釉,27.5,10.0,269.0,1618.48,0.0,0.0
3016,嘉晶,66.0,10.0,1503.0,1198.47,0.0,0.0
6770,力積電,68.2,10.0,-3704.77,10651.6,-284.0,-157.0
1513,中興電,176.5,9.96,-3746.07,289.25,-436.57,-434.97
8086,宏捷科,121.5,9.95,-185.99,-79.67,0.0,-1.0
6548,長科*,55.3,9.94,1346.96,3428.96,2.0,-610.0
4939,亞電,43.2,9.92,473.1,-138.8,0.0,0.0
1802,台玻,50.5,9.9,10463.05,41073.1,0.0,3725.0
4979,華星光,290.5,9.82,2080.1,320.0,-1256.0,-1620.0
6285,啟碁,130.0,9.7,2638.94,1642.26,-98.05,-208.48
2303,聯電,67.8,8.48,12573.99,126593.1,-4465.13,-15528.56
3707,漢磊,61.9,5.81,1355.9,2112.75,0.0,0.0
5309,系統電,68.2,5.73,1374.98,-127.0,136.0,133.0
2408,南亞科,272.0,-1.09,-454.37,-1453.76,-684.25,-672.24
