股票代碼,公司名稱,風險等級,累計注意股次數,連續天數,預測處置原因,最新收盤價,漲幅門檻,跌幅門檻
1717,長興,高,5,3,連續3日注意股（已達連續3日標準）,69.9,+6.0% (>74.52),-6.0% (<66.08)
3057,喬鼎,高,4,4,連續4日注意股（已達連續3日標準）,18.35,+6.0% (>20.46),-6.0% (<18.14)
8996,高力,高,10,3,連續3日注意股（已達連續3日標準）,727.0,+6.0% (>751.54),-6.0% (<666.46)
8476,台境*,高,4,4,連續4日注意股（已達連續3日標準）,23.2,+6.0% (>25.76),-6.0% (<22.84)
8105,凌巨,高,3,3,連續3日注意股（已達連續3日標準）,14.4,+6.0% (>15.74),-6.0% (<13.96)
6641,基士德-KY,高,3,3,連續3日注意股（已達連續3日標準）,24.4,+6.0% (>26.66),-6.0% (<23.64)
6443,元晶,高,6,3,連續3日注意股（已達連續3日標準）,40.8,+6.0% (>39.33),-6.0% (<34.87)
6205,詮欣,高,4,4,連續4日注意股（已達連續3日標準）,60.2,+6.0% (>59.89),-6.0% (<53.11)
6116,彩晶,高,3,3,連續3日注意股（已達連續3日標準）,10.25,+6.0% (>11.45),-6.0% (<10.15)
3308,聯德,高,4,4,連續4日注意股（已達連續3日標準）,26.05,+6.0% (>27.88),-6.0% (<24.72)
3138,耀登,高,3,3,連續3日注意股（已達連續3日標準）,167.5,+6.0% (>175.43),-6.0% (<155.57)
1721,三晃,高,6,3,連續3日注意股（已達連續3日標準）,20.85,+6.0% (>23.37),-6.0% (<20.73)
3135,凌航,高,8,4,連續4日注意股（已達連續3日標準）,134.0,+6.0% (>142.04),-6.0% (<125.96)
9103,美德醫療-DR,高,5,4,連續4日注意股（已達連續3日標準）,4.61,+6.0% (>4.94),-6.0% (<4.38)
2484,希華,高,4,4,連續4日注意股（已達連續3日標準）,30.0,+6.0% (>30.79),-6.0% (<27.31)
1735,日勝化,高,3,3,連續3日注意股（已達連續3日標準）,17.7,+6.0% (>18.76),-6.0% (<16.64)
2455,全新,高,4,4,連續4日注意股（已達連續3日標準）,184.5,+6.0% (>178.08),-6.0% (<157.92)
1789,神隆,高,4,4,連續4日注意股（已達連續3日標準）,28.25,+6.0% (>28.73),-6.0% (<25.47)
2406,國碩,高,3,3,連續3日注意股（已達連續3日標準）,31.2,+6.0% (>32.65),-6.0% (<28.95)
2027,大成鋼,高,4,4,連續4日注意股（已達連續3日標準）,36.15,+6.0% (>38.96),-6.0% (<34.54)
2313,華通,高,3,3,連續3日注意股（已達連續3日標準）,148.0,+6.0% (>152.11),-6.0% (<134.89)
2312,金寶,高,4,4,連續4日注意股（已達連續3日標準）,34.95,+6.0% (>37.52),-6.0% (<33.28)
6770,力積電,極高,12,5,連續5日注意股（已達連續3日標準）,68.2,+6.0% (>65.72),-6.0% (<58.28)
8438,昶昕,極高,7,7,連續7日注意股（已達連續3日標準）,62.0,+6.0% (>66.46),-6.0% (<58.94)
8033,雷虎,極高,10,5,連續5日注意股（已達連續3日標準）,151.5,+6.0% (>153.70),-6.0% (<136.30)
8021,尖點,極高,10,5,連續5日注意股（已達連續3日標準）,225.0,+6.0% (>232.14),-6.0% (<205.86)
2485,兆赫,極高,5,5,連續5日注意股（已達連續3日標準）,36.85,+6.0% (>39.59),-6.0% (<35.11)
3006,晶豪科,極高,8,7,連續7日注意股（已達連續3日標準）,152.0,+6.0% (>168.01),-6.0% (<148.99)
2344,華邦電,極高,6,6,連續6日注意股（已達連續3日標準）,113.0,+6.0% (>123.49),-6.0% (<109.51)
4967,十銓,極高,11,8,連續8日注意股（已達連續3日標準）,209.5,+6.0% (>230.55),-6.0% (<204.45)
3701,大眾控,極高,5,5,連續5日注意股（已達連續3日標準）,58.0,+6.0% (>58.30),-6.0% (<51.70)
2413,環科,極高,5,5,連續5日注意股（已達連續3日標準）,48.65,+6.0% (>54.59),-6.0% (<48.41)
3092,鴻碩,極高,5,5,連續5日注意股（已達連續3日標準）,26.85,+6.0% (>27.83),-6.0% (<24.67)
2337,旺宏,極高,5,5,連續5日注意股（已達連續3日標準）,76.8,+6.0% (>78.12),-6.0% (<69.28)
