排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6217,電子零組件類,中探針,7.7,28.4,51.8,66.6,50.7,61.2,18.1
2,3325,電腦及週邊類,旭品,4.4,17.2,16.3,16.7,15.25,15.7,-3.7
3,2489,光電業,瑞軒,5.6,16.6,16.5,23.9,16.25,22.0,33.3
4,3234,通信網路類,光環,3.9,15.6,46.0,57.0,44.0,52.9,15.0
5,2374,光電業,佳能,4.4,15.2,80.1,88.9,79.8,83.2,3.9
6,1815,電子零組件類,富喬,5.8,14.3,95.8,117.5,93.6,93.7,-2.2
7,2481,半導體業,強茂,7.2,13.5,89.0,102.5,86.9,89.5,0.6
8,1609,電器電纜,大亞,4.3,13.1,40.6,50.0,40.1,42.95,5.8
9,5392,光電業類,能率,4.3,12.8,48.4,51.7,48.1,50.5,4.3
10,1513,電機機械,中興電,5.5,12.6,154.5,189.0,152.5,184.0,19.1
11,5371,光電業類,中光電,5.7,12.3,93.0,107.5,90.1,100.0,7.5
12,2399,電子工業,映泰,2.6,11.9,27.05,29.0,25.8,27.0,-0.2
13,5425,半導體類,台半,4.3,11.7,64.8,73.7,63.0,66.1,2.0
14,2486,光電業,一詮,4.0,11.3,90.3,105.5,88.8,105.5,16.8
15,3543,光電業,州巧,5.8,11.1,43.3,55.7,42.35,49.75,14.9
16,2375,電子工業,凱美,2.8,11.0,99.0,109.5,95.8,102.0,3.0
17,8021,其他電子業,尖點,4.2,10.0,222.5,247.5,217.0,233.0,4.7
18,6285,通信網路業,啟碁,5.9,9.6,111.0,155.0,107.0,155.0,39.6
19,1514,電機機械,亞力,3.8,8.8,107.5,148.0,106.0,142.5,32.6
20,6805,電子工業,富世達,4.6,8.5,1300.0,1445.0,1250.0,1380.0,6.2
21,6104,半導體類,創惟,1.4,8.5,103.0,105.5,98.5,101.0,-1.9
22,4939,電子零組件類,亞電,3.2,8.2,40.6,54.9,38.45,46.2,13.8
23,4760,其他電子類,勤凱,3.2,8.2,183.5,207.0,179.5,186.0,1.4
24,5475,電子零組件類,德宏,3.4,8.1,96.9,119.5,96.8,103.0,6.3
25,5309,電子零組件類,系統電,2.5,8.0,65.8,72.0,63.3,69.6,5.8
26,6173,電子零組件類,信昌電,3.8,7.5,74.5,79.7,71.1,75.1,0.8
27,6517,光電業類,保勝光學,1.3,7.2,81.5,83.7,72.2,74.0,-9.2
28,8436,生技醫療類,大江,2.7,7.0,135.5,159.0,132.0,155.5,14.8
29,1591,電機機械,駿吉-KY,1.6,6.8,50.6,51.2,48.0,49.0,-3.2
30,4973,半導體類,廣穎,2.1,6.5,49.0,58.8,48.8,49.7,1.4
31,3624,電子零組件類,光頡,3.1,6.4,65.0,69.0,61.2,62.0,-4.6
32,8046,電子工業,南電,5.0,6.2,269.0,382.0,266.5,382.0,42.0
33,6190,通信網路類,萬泰科,2.3,6.0,50.9,53.9,48.6,51.8,1.8
34,3537,電子零組件類,堡達,1.6,5.6,54.4,54.5,50.5,50.8,-6.6
35,2492,電子工業,華新科,3.1,5.5,135.0,165.5,128.5,153.5,13.7
36,4923,半導體類,力士,1.9,5.5,32.7,39.95,30.8,37.75,15.4
37,3339,光電業類,泰谷,1.7,5.4,28.1,31.7,27.2,30.0,6.8
38,3691,光電業類,碩禾,3.3,5.4,105.5,127.0,104.5,119.5,13.3
39,4987,電腦及週邊類,科誠,3.4,5.2,81.4,81.6,81.4,81.5,0.1
40,6438,其他電子業,迅得,1.7,4.8,150.5,166.0,143.0,149.5,-0.7
41,3062,通信網路業,建漢,1.2,4.5,26.2,27.3,25.25,26.3,0.4
42,5292,綠能環保,華懋,2.4,4.3,195.0,227.5,190.0,218.5,12.1
43,4744,生技醫療類,皇將,1.5,4.3,29.6,30.2,29.1,29.8,0.7
44,6213,電子工業,聯茂,2.3,4.3,116.5,125.5,113.0,119.5,2.6
45,4916,電子工業,事欣科,1.1,4.3,62.8,68.0,60.6,64.8,3.2
46,2478,電子工業,大毅,2.2,4.0,70.7,73.6,68.1,72.0,1.8
47,2436,半導體業,偉詮電,0.9,4.0,48.85,52.1,48.3,51.1,4.6
48,3047,通信網路業,訊舟,0.8,4.0,19.7,20.5,19.15,19.55,-0.8
49,2605,航運業,新興,1.8,4.0,28.5,29.8,27.7,28.75,0.9
50,3708,化學工業,上緯投控,2.0,4.0,118.5,129.5,117.0,124.5,5.1
