股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
8096,擎亞,2026-01-28,61.1,64.2,5.07%,50466,9624,5.24
6547,高端疫苗,2026-01-28,45.15,41.5,-8.08%,17927,2052,8.73
1732,毛寶,2026-01-28,31.9,33.4,4.7%,5981,602,9.92
6168,宏齊,2026-01-28,24.5,24.5,0.0%,20801,2530,8.22
6133,金橋,2026-01-28,29.7,28.95,-2.53%,34933,6096,5.73
4956,光鋐,2026-01-28,20.9,21.95,5.02%,7770,1317,5.9
4571,鈞興-KY,2026-01-28,193.0,202.5,4.92%,6011,751,7.99
4121,優盛,2026-01-28,19.4,19.1,-1.55%,5642,995,5.67
1447,力鵬,2026-01-28,6.4,5.76,-10.0%,7960,1514,5.26
4534,慶騰,2026-01-27,26.25,25.3,-3.62%,7831,1345,5.82
6761,穩得,2026-01-27,160.0,153.0,-4.38%,6300,1090,5.78
6168,宏齊,2026-01-27,21.85,24.5,12.13%,13329,1519,8.77
6153,嘉聯益,2026-01-27,20.1,16.4,-18.41%,32515,5879,5.53
4949,有成精密,2026-01-27,51.9,48.25,-7.03%,8516,1590,5.35
4714,永捷,2026-01-27,19.0,17.65,-7.11%,14147,2414,5.86
1444,力麗,2026-01-27,7.3,6.78,-7.12%,8963,1616,5.55
3694,海華,2026-01-27,70.8,62.5,-11.72%,15579,2056,7.58
3630,新鉅科,2026-01-27,39.7,36.9,-7.05%,21765,4071,5.35
2515,中工,2026-01-27,15.4,14.2,-7.79%,55831,10479,5.33
2431,聯昌,2026-01-27,17.65,16.85,-4.53%,12333,1551,7.95
1710,東聯,2026-01-27,14.0,13.95,-0.36%,22492,3339,6.73
1471,首利,2026-01-27,14.65,13.9,-5.12%,15202,1845,8.24
1455,集盛,2026-01-27,10.4,9.38,-9.81%,12950,1315,9.84
4121,優盛,2026-01-27,17.4,19.1,9.77%,6490,720,9.01
3630,新鉅科,2026-01-26,37.3,36.9,-1.07%,16096,3011,5.35
2453,凌群,2026-01-26,64.5,58.4,-9.46%,8587,1355,6.34
2355,敬鵬,2026-01-26,40.0,37.2,-7.0%,50040,8023,6.24
6202,盛群,2026-01-26,44.15,52.9,19.82%,10004,1947,5.14
6271,同欣電,2026-01-26,159.0,154.0,-3.14%,31451,6051,5.2
