股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
2327,國巨,286.0,10.0,-1093.27,-7639.57,244.24,-367.3
4927,泰鼎-KY,49.55,9.98,-462.53,-430.6,0.0,0.0
6509,聚和,45.75,9.97,-717.0,-136.78,14.0,26.0
2492,華新科,143.5,9.96,-424.36,-2937.29,1.0,45.0
6770,力積電,71.7,9.96,-37793.62,-95764.16,20.0,-138.0
6282,康舒,50.3,9.94,1046.68,1827.48,21.0,-298.08
2406,國碩,38.25,9.91,2806.59,2469.31,0.0,0.0
6147,頎邦,65.4,9.91,-3625.79,-621.84,-15.52,-47.12
6550,北極星藥業-KY,23.85,9.9,10.0,40.0,0.0,0.0
3702,大聯大,90.0,9.89,9365.79,7159.04,-1705.0,1485.0
3209,全科,44.8,6.92,734.83,4329.05,-1.49,-8.92
2855,統一證,32.2,4.71,1115.6,1152.71,3.0,74.0
