股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
3211,順達,BBU_電池模組,4.17,20.47,21036
6121,新普,BBU_電池模組,0.29,1.46,189
3625,西勝,BBU_電池模組,0.28,7.12,669
6558,興能高,BBU_電池模組,-1.34,2.44,635
3323,加百裕,BBU_電池模組,-3.01,4.12,4460
6781,AES-KY,BBU_電池模組,-4.44,1.9,1633
4931,新盛力,BBU_電池模組,-5.54,11.11,15027
3305,昇貿,BBU_電源供應器與整合,0.49,3.0,3458
3625,西勝,BBU_電源供應器與整合,0.28,7.12,669
5309,系統電,BBU_電源供應器與整合,-0.81,3.22,9825
2301,光寶科,BBU_電源供應器與整合,-2.22,0.0,15055
2308,台達電,BBU_電源供應器與整合,-2.26,7.45,13856
6257,矽格,CPO_先進封裝測試,6.57,16.33,27253
6451,訊芯-KY,CPO_先進封裝測試,4.08,18.36,3686
3265,台星科,CPO_先進封裝測試,-1.76,4.89,5507
6515,穎崴,CPO_先進封裝測試,-3.61,3.3,150
3363,上詮,CPO_先進封裝測試,-5.75,-3.33,1053
3081,聯亞,CPO_光通訊,9.74,14.19,4150
2455,全新,CPO_光通訊,2.06,22.8,60013
4977,眾達-KY,CPO_光通訊,-1.75,5.95,28482
6442,光聖,CPO_光通訊,-2.12,12.43,4949
4979,華星光,CPO_光通訊,-3.41,8.16,32812
3163,波若威,CPO_光通訊,-9.91,-1.46,945
3529,力旺,IC設計,5.03,12.5,1734
3443,創意,IC設計,2.63,-1.93,2718
3443,創意,IC設計,2.63,-1.93,2718
8054,安國,IC設計,2.13,3.18,3480
2388,威盛,IC設計,0.96,-6.6,4241
3035,智原,IC設計,-0.33,0.0,2131
3035,智原,IC設計,-0.33,0.0,2131
6531,愛普*,IC設計,-0.39,-2.68,4351
2454,聯發科,IC設計,-1.85,-2.15,7833
6533,晶心科,IC設計,-2.39,-7.3,460
6643,M31,IC設計,-2.67,-3.18,1078
3661,世芯-KY,IC設計,-2.7,-3.92,2377
3661,世芯-KY,IC設計,-2.7,-3.92,2377
8358,金居,PCB,9.91,12.13,25114
2313,華通,PCB,6.74,13.66,171324
8046,南電,PCB,5.37,6.55,31163
4958,臻鼎-KY,PCB,5.3,8.71,42853
6274,台燿,PCB,4.48,12.64,19950
2383,台光電,PCB,3.51,5.37,4555
3715,定穎投控,PCB,1.09,8.5,64174
2367,燿華,PCB,0.27,5.61,260062
3189,景碩,PCB,0.0,1.59,6883
5469,瀚宇博,PCB,0.0,0.61,1783
2368,金像電,PCB,-0.43,-4.57,7064
2316,楠梓電,PCB,-0.49,0.49,4706
3037,欣興,PCB,-0.79,0.6,8065
6213,聯茂,PCB,-1.03,5.88,17160
1815,富喬,PCB,-3.24,0.97,95955
2383,台光電,TPU_伺服器主板與印刷電路板,3.51,5.37,4555
3715,定穎投控,TPU_伺服器主板與印刷電路板,1.09,8.5,64174
5469,瀚宇博,TPU_伺服器主板與印刷電路板,0.0,0.61,1783
2368,金像電,TPU_伺服器主板與印刷電路板,-0.43,-4.57,7064
3037,欣興,TPU_伺服器主板與印刷電路板,-0.79,0.6,8065
3081,聯亞,TPU_光通訊與連接器,9.74,14.19,4150
6805,富世達,TPU_光通訊與連接器,0.0,2.14,1881
2345,智邦,TPU_光通訊與連接器,-0.59,7.03,7062
6442,光聖,TPU_光通訊與連接器,-2.12,12.43,4949
3017,奇鋐,TPU_散熱,8.33,14.04,8504
6831,未知,TPU_散熱,7.44,17.47,3012
6805,富世達,TPU_散熱,0.0,2.14,1881
