股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2417,圓剛,56.9,35.48%,10351,4.64
2486,一詮,307.0,55.05%,23372,1.65
3051,力特,29.85,32.08%,21067,6.69
3317,尼克森,62.2,14.97%,10291,3.13
3535,晶彩科,145.5,16.87%,29345,1.53
3605,宏致,91.2,35.11%,17409,4.2
3707,漢磊,75.5,30.4%,29648,3.6
4526,東台,40.3,14.81%,27541,3.09
4540,全球傳動,69.3,17.86%,18641,3.88
6182,合晶,48.5,23.25%,63957,2.38
6197,佳必琪,243.5,28.84%,12641,2.38
6205,詮欣,98.2,21.23%,17694,4.4
6207,雷科,68.1,19.06%,18017,3.44
6278,台表科,185.0,16.72%,19093,2.09
6405,悅城,61.4,67.07%,12493,3.78
6488,環球晶,666.0,20.87%,16328,1.93
8027,鈦昇,202.0,35.12%,17243,2.46
