排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,6770,力積電,半導體業,上市,4,61753,207697
2,2344,華邦電,半導體業,上市,4,98945,177797
3,2312,金寶,其他電子業,上市,5,26715,118261
4,1802,台玻,玻璃陶瓷,上市,4,10003,75784
5,2317,鴻海,其他電子業,上市,4,4200,73899
6,3231,緯創,電腦及週邊設備業,上市,4,186,68447
7,6282,康舒,電子零組件業,上市,4,4035,58882
8,1303,南亞,塑膠工業,上市,3,34228,56081
9,2891,中信金,金融保險業,上市,5,7382,54389
10,1605,華新,電器電纜,上市,4,1135,53501
11,2369,菱生,半導體業,上市,5,17140,37646
12,2303,聯電,半導體業,上市,3,8160,37339
13,6182,合晶,半導體業,上櫃,5,12950,36715
14,2882,國泰金,金融保險業,上市,5,7779,24028
15,3706,神達,電腦及週邊設備業,上市,4,325,23682
16,3037,欣興,電子零組件業,上市,4,11018,23579
17,2337,旺宏,半導體業,上市,3,29561,22362
18,4927,泰鼎-KY,電子零組件業,上市,4,1586,21506
19,6239,力成,半導體業,上市,5,4693,20454
20,3189,景碩,半導體業,上市,4,299,16185
21,8110,華東,半導體業,上市,4,11403,15742
22,1409,新纖,紡織纖維,上市,4,3596,15267
23,3211,順達,電腦及週邊設備業,上櫃,3,5982,14839
24,4526,東台,電機機械,上市,5,6182,14121
25,6548,長科*,半導體業,上櫃,4,9150,13276
26,3704,合勤控,通信網路業,上市,5,3476,12271
27,2338,光罩,半導體業,上市,5,246,12165
28,2421,建準,電子零組件業,上市,4,1844,12052
29,2495,普安,電腦及週邊設備業,上市,5,1053,11895
30,5425,台半,半導體業,上櫃,3,10017,11837
31,3715,定穎投控,電子零組件業,上市,4,7387,11746
32,6284,佳邦,電子零組件業,上櫃,5,1080,10953
33,2436,偉詮電,半導體業,上市,5,2876,10747
34,6005,群益證,金融保險業,上市,4,3541,10401
35,2492,華新科,電子零組件業,上市,5,1205,9863
36,2399,映泰,電腦及週邊設備業,上市,5,2634,9812
37,2606,裕民,航運業,上市,5,4845,9502
38,9933,中鼎,其他業,上市,5,1198,8362
39,2404,漢唐,其他電子業,上市,5,1674,8353
40,8926,台汽電,油電燃氣業,上市,5,1544,7934
41,6147,頎邦,半導體業,上櫃,3,6223,7801
42,8358,金居,電子零組件業,上櫃,5,338,7553
43,5388,中磊,通信網路業,上市,5,306,6987
44,8086,宏捷科,半導體業,上櫃,4,2639,6946
45,3149,正達,光電業,上市,3,567,6742
46,8261,富鼎,半導體業,上市,4,2118,6735
47,3305,昇貿,其他電子業,上市,5,448,6665
48,3236,千如,電子零組件業,上櫃,5,1568,6392
49,2308,台達電,電子零組件業,上市,4,2353,6336
50,6207,雷科,電子零組件業,上櫃,3,3758,5104
51,8069,元太,光電業,上櫃,4,315,4817
52,6125,廣運,光電業,上櫃,4,1701,4646
53,2646,星宇航空,航運業,上市,5,417,4367
54,3042,晶技,電子零組件業,上市,4,1468,4233
55,2493,揚博,電子零組件業,上市,4,2367,4083
56,6269,台郡,電子零組件業,上市,5,602,4042
57,2458,義隆,半導體業,上市,5,458,3939
58,2351,順德,半導體業,上市,4,2441,3781
59,5371,中光電,光電業,上櫃,5,45,3753
