排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,3231,緯創,電腦及週邊設備業,上市,17187,80284
2,2609,陽明,航運業,上市,16333,41444
3,2891,中信金,金融保險業,上市,8399,39986
4,4938,和碩,電腦及週邊設備業,上市,4738,15771
5,8105,凌巨,光電業,上市,3930,8358
6,2492,華新科,電子零組件業,上市,1726,8326
7,8131,福懋科,半導體業,上市,9,8026
8,1563,巧新,汽車工業,上市,1203,6755
9,6026,福邦證,金融保險業,上櫃,1086,6061
10,8473,山林水,綠能環保,上市,856,3847
11,2023,燁輝,鋼鐵工業,上市,1287,2993
12,6446,藥華藥,生技醫療業,上市,325,2949
13,3090,日電貿,電子零組件業,上市,465,2479
14,2243,宏旭-KY,汽車工業,上市,784,1927
15,6509,聚和,化學工業,上櫃,320,1876
16,3056,富華新,建材營造業,上市,950,1874
17,2601,益航,貿易百貨業,上市,272,1868
18,2206,三陽工業,汽車工業,上市,435,1770
19,3022,威強電,電腦及週邊設備業,上市,245,1655
20,6134,萬旭,電子零組件業,上櫃,545,1632
21,5522,遠雄,建材營造業,上市,540,1568
22,3591,艾笛森,光電業,上市,147,1553
23,6121,新普,電腦及週邊設備業,上櫃,302,1410
24,1455,集盛,紡織纖維,上市,369,1218
25,2636,台驊控股,航運業,上市,547,802
26,3491,昇達科,通信網路業,上櫃,3,769
27,1532,勤美,電機機械,上市,193,745
28,6592,和潤企業,其他業,上市,438,670
29,1460,宏遠,紡織纖維,上市,208,651
30,3071,協禧,電腦及週邊設備業,上櫃,196,567
31,6196,帆宣,其他電子業,上市,161,529
32,2527,宏璟,建材營造業,上市,97,521
33,6449,鈺邦,電子零組件業,上市,38,520
34,3607,谷崧,電子零組件業,上市,27,511
35,7709,榮田,電機機械,上櫃,36,496
36,3066,李洲,光電業,上櫃,112,476
37,2611,志信,航運業,上市,272,471
38,3533,嘉澤,電子零組件業,上市,10,453
39,9940,信義,其他業,上市,219,421
40,6270,倍微,電子通路業,上櫃,163,406
41,8927,北基,油電燃氣業,上櫃,118,403
42,3057,喬鼎,電腦及週邊設備業,上市,165,400
43,6136,富爾特,通信網路業,上市,56,348
44,1734,杏輝,生技醫療業,上市,169,340
45,4155,訊映,生技醫療業,上市,104,305
46,3546,宇峻,文化創意業,上櫃,11,302
47,1464,得力,紡織纖維,上市,91,301
48,8908,欣雄,油電燃氣業,上櫃,43,255
49,4971,IET-KY,半導體業,上櫃,101,250
50,6890,來億-KY,運動休閒,上市,120,226
51,5324,士開,建材營造業,上櫃,32,217
52,4207,環泰,食品工業,上櫃,82,213
53,1103,嘉泥,水泥工業,上市,8,208
54,2816,旺旺保,金融保險業,上市,11,175
55,2908,特力,貿易百貨業,上市,26,165
56,2065,世豐,鋼鐵工業,上櫃,26,151
57,5215,科嘉-KY,電腦及週邊設備業,上市,39,138
58,2762,世界健身-KY,運動休閒,上市,85,136
59,5609,中菲行,航運業,上櫃,28,136
60,5283,禾聯碩,電器電纜,上市,43,126
61,8084,巨虹,電子通路業,上櫃,58,120
62,2849,安泰銀,金融保險業,上市,7,89
63,3308,聯德,電子零組件業,上市,34,82
64,2114,鑫永銓,橡膠工業,上市,25,70
65,4438,廣越,紡織纖維,上市,5,66
66,1525,江申,汽車工業,上市,16,66
67,2524,京城,建材營造業,上市,19,64
68,8097,常珵,通信網路業,上櫃,23,62
69,4702,中美實,居家生活,上櫃,2,31
70,5533,皇鼎,建材營造業,上市,3,31
71,1537,廣隆,電機機械,上市,3,28
72,6958,日盛台駿,其他業,上市,2,23
