stock_id,lots
1101,6448
1102,-2719
1103,190
1104,-153
1108,-53
1109,36
1110,-38
1201,108
1203,0
1210,872
1213,0
1215,-1543
1216,-2102
1217,10
1218,328
1219,5
1220,-6
1225,-4
1227,-852
1229,-1695
1231,-68
1232,3
1233,-1
1234,6
1235,-1
1236,0
1240,-1
1256,-25
1259,-1
1264,-6
1268,6
1294,0
1301,17194
1303,1616
1304,2511
1305,750
1307,648
1308,99
1309,890
1310,2894
1312,2617
1313,795
1314,-4076
1315,-1
1316,364
1319,1081
1321,-11
1323,-10
1324,-6
1325,57
1326,16943
1336,3
1337,-179
1338,28
1339,-51
1340,-107
1341,0
1342,102
1402,9448
1409,3091
1410,0
1413,-1
1414,30
1416,3
1417,-11
1418,-4
1419,60
1423,7
1432,83
1434,2123
1436,-102
1437,-27
1438,-20
1439,0
1440,3176
1441,-6
1442,66
1443,0
1444,1441
1445,-2
1446,-83
1447,-683
1449,185
1451,4
1452,23
1453,-4
1454,-28
1455,379
1456,23
1457,81
1459,3
1460,342
1463,-4
1464,-2
1465,3
1466,11
1467,113
1468,0
1470,0
1471,66
1472,0
1473,25
1474,29
1475,-9
1476,107
1477,17
1503,4665
1504,13362
1506,-158
1512,18
1513,18663
1514,7993
1515,-101
1516,9
1517,22
1519,3238
1521,-2
1522,-162
1524,406
1525,-5
1526,19
1527,30
1528,-6985
1529,1443
1530,-16
1531,-31
1532,177
1533,47
1535,5
1536,70
1537,1
1538,0
1539,17
1540,37
1541,-6
1558,1
1560,297
1563,41
1565,-19
1568,-30
1569,-72
1570,-185
1580,2
1582,-454
1583,-4
1584,580
1586,-20
1587,81
1590,94
1591,-2
1593,-2
1595,-277
1597,-104
1598,127
1599,10
1603,295
1604,258
1605,21946
1608,3897
1609,9208
1611,1863
1612,1058
1614,10
1615,-118
1616,322
1617,73
1618,246
1626,-3
1702,-8
1707,-142
1708,1757
1709,204
1710,749
1711,1194
1712,-207
1713,2
1714,7328
1717,-1864
1718,5339
1720,-14
1721,-174
1722,1272
1723,132
1725,159
1726,-2
1727,-751
1730,-16
1731,-8
1732,32
1733,-29
1734,-144
1735,382
1736,-266
1737,-32
1742,3
1752,-8
1760,16
1762,1
1773,-14
1776,-129
1777,-5
1781,-17
1783,-5
1784,7
1785,-2229
1786,2
1788,-14
1789,117
1795,101
1796,0
1799,-31
1802,-2015
1805,116
1806,-30
1808,1694
1809,-2306
1810,437
1813,-17
1815,-3297
1817,1
1903,-29
1904,923
1905,-873
1906,1
1907,724
1909,1103
2002,13912
2006,-79
2007,-16
2008,8
2009,3383
2010,672
2012,-13
2013,27
2014,5146
2015,-39
2017,931
2020,291
2022,548
2023,1076
2024,0
2025,-1
2027,3608
2028,64
2029,90
2030,782
2031,1511
2032,464
2033,36
2034,1204
2035,0
2038,595
2049,146
2059,89
2061,161
2062,-7
2063,-1
2064,0
2065,-1
2066,-6
2067,5
2069,165
2070,145
2073,0
2101,778
2102,103
2103,4304
2104,981
2105,-2166
2106,352
2107,78
2108,1051
2114,-19
2115,-16
2201,445
2204,587
2206,400
2207,219
2208,41
2211,274
2221,9
2227,1
2228,19
2230,67
2231,37
2233,-212
2235,-1
2236,-17
2239,1
2241,-670
2243,-76
2247,20
2248,15
2250,10
2301,11433
2302,-136
2303,-40747
2305,181
2308,1933
2312,4355
2313,-11843
2314,-3
2316,-515
2317,24355
2321,0
2323,10673
2324,-28607
2327,-4388
2328,-386
2329,225
2330,1201
2331,-236
2332,-1812
2337,-17839
2338,-1975
2340,920
2342,4105
2344,-74405
2345,862
2347,-1320
2348,-21
2349,17343
2351,-2208
2352,6789
2353,-24162
2354,6628
2355,-2841
2356,19504
2357,1380
2359,-279
2360,268
2362,-748
2363,-863
2364,798
2365,-119
2367,-1791
2368,1917
2369,-3114
2371,-380
2373,8
2374,-697
2375,-88
2376,249
2377,-1932
2379,-107
2380,34
2382,6546
2383,-206
2385,1651
2387,504
2388,-2408
2390,-22
2392,1657
2393,816
2395,-60
2397,-176
2399,807
2401,483
2402,2428
2404,-1128
2405,-4938
2406,9684
2408,-26466
2409,6577
2412,1065
2413,-773
2414,2
2417,-784
2419,-195
2420,118
2421,1533
2423,-12
2424,-11
2425,170
2426,273
2427,-1611
2428,-278
2429,-132
2430,-116
2431,-116
2433,6
2434,-29
2436,-801
2438,17
2439,257
2440,362
2441,-322
2442,180
2444,313
2449,16883
2450,-20
2451,-198
2453,211
2454,-160
2455,384
2457,3081
2458,-28
2459,-55
2460,-419
2461,-169
2462,89
2464,-854
2465,-1353
2466,6
2467,-51
2468,-498
2471,3
2472,40
2474,-4043
2476,139
2477,280
2478,71
2480,126
2481,14968
2482,-16
2483,-5
2484,3860
2485,-816
2486,3503
2488,17
2489,-3620
2491,226
2492,-241
2493,1107
2495,-4120
2496,-1
2497,-265
2498,-4791
2501,1235
2504,400
2505,81
2506,31
2509,-25
2511,-120
2514,75
2515,2400
2516,-33
2520,499
2524,26
2527,168
2528,88
2530,42
2534,234
2535,0
2536,11
2537,78
2538,110
2539,-57
2540,-23
2542,1600
2543,74
2545,141
2546,-24
2547,-793
2548,-2858
2596,-9
2597,412
2601,-3542
2603,9404
2605,-1928
2606,57
2607,-133
2608,-27
2609,-936
2610,10830
2611,59
2612,93
2613,114
2614,33
2615,-225
2616,40
2617,102
2618,6317
2630,-59
2633,1690
2634,-1087
2636,115
2637,39
2640,3
2641,-181
2642,-21
2643,-3
2645,137
2646,-2271
2701,38
2702,8
2704,-2
2705,18
2706,23
2707,71
2712,0
2718,1
2719,0
2722,1
2723,18
2724,-1
2726,0
2727,376
2729,-4
2731,198
2732,1
2734,14
2736,-10
2739,35
2740,0
2743,-8
2745,4
2748,-6
2751,-1
2752,-6
2753,109
2754,0
2755,0
2756,-8
2762,25
2801,13500
2812,-3422
2816,-186
2820,1922
2832,17
2834,42060
2836,1020
2838,1124
2845,6319
2849,-13
2850,117
2851,1227
2852,311
2855,1216
2867,12651
2880,20165
2881,-8441
2882,6377
2883,57622
2884,25033
2885,2041
2886,-217
2887,62894
2889,-222
2890,29485
2891,13444
2892,24551
2897,5269
2901,0
2903,1730
2904,-17
2905,136
2906,-28
2908,22
2910,0
2911,24
2912,3334
2913,-1055
2915,639
2916,-7
2923,-1
2924,0
2926,0
2929,60
2937,0
2939,-1
2941,0
2945,-1
2947,0
2948,0
2949,0
3002,-279
3003,50
3004,112
3005,-1552
3006,-4214
3008,403
3010,242
3011,466
3013,-832
3014,217
3015,350
3016,-927
3017,1710
3018,-1
3019,169
3021,-241
3022,36
3023,382
3024,-1115
3025,-111
3026,191
3027,732
3028,84
3029,-201
3030,-558
3031,715
3032,562
3033,-153
3034,-206
3035,-1801
3036,-239
3037,1593
3038,423
3040,-33
3041,423
3042,1888
3043,56
3044,-83
3045,3744
3046,-105
3047,-1597
3048,-12143
3049,3207
3050,276
3051,-50
3052,197
3054,86
3055,-216
3056,621
3057,171
3058,64
3059,-9677
3060,-1464
3062,-768
3064,0
3066,-72
3067,0
3071,-49
3073,-9
3078,-252
3081,775
3083,-81
3085,0
3086,-540
3088,-595
3090,-37
3092,12
3093,483
3094,-29
3095,0
3105,-3710
3114,335
3115,0
3118,-11
3122,-74
3128,-159
3130,-8
3131,-105
3138,267
3141,-128
3147,625
3149,-7562
3152,-78
3162,-208
3163,888
3164,-6
3167,544
3168,5
3169,-159
3171,-5
3176,-243
3178,29
3188,-20
3189,587
3191,-279
3205,-34
3206,-79
3207,-393
3209,-25
3211,1213
3213,95
3217,-14
3218,-48
3219,-19
3221,1582
3224,-21
3226,0
3227,-9
3228,-65
3229,-207
3230,6
3231,-4688
3232,-6
3234,1134
3236,37
3252,0
3257,-103
3259,29
3260,-4707
3264,6036
3265,970
3266,-3
3268,-119
3272,0
3276,16
3284,139
3285,-1
3287,-96
3288,29
3289,279
3290,111
3293,-453
3294,-291
3296,7
3297,-167
3303,74
3305,1924
3306,72
3308,11
3310,-19
3311,-360
3312,969
3313,-17
3317,-574
3321,-328
3322,32
3323,671
3324,2881
3325,-197
3332,0
3338,-1516
3339,-94
3346,-676
3349,-20
3354,-4
3356,-927
3357,-395
3360,-39
3362,1319
3363,1374
3372,131
3373,-9
3374,7946
3376,4700
3379,-6
3380,1162
3388,-33
3390,67
3402,173
3406,430
3413,287
3416,-2
3419,131
3430,-41
3432,6
3434,-339
3437,136
3438,-70
3441,-75
3443,50
3444,-107
3447,58
3450,-1832
3455,-191
3465,7
3466,-44
3479,-157
3481,81127
3483,1818
3484,8
3489,-3
3490,-324
3491,-129
3492,8
3494,35
3498,-138
3499,31
3501,-59
3504,-228
3508,9
3511,225
3512,-40
3515,-950
3516,-2
3518,-51
3520,-17
3521,-3
3522,-4
3523,7
3526,186
3527,102
3528,227
3529,-24
3530,-18
3531,0
3532,205
3533,1
3535,-100
3537,-903
3540,49
3541,12
3543,72
3545,49
3546,-96
3548,-1
3550,594
3551,-236
3552,-13
3555,-14
3556,-871
3557,4
3558,-61
3563,-53
3564,-196
3567,-20
3570,9
3576,6524
3577,18
3580,-681
3581,20
3583,27
3587,-259
3588,-58
3591,161
3592,-1
3593,0
3594,21
3596,49
3597,59
3605,266
3607,-1824
3609,8
3611,3
3615,1204
3617,99
3622,-48
3623,-34
3624,-903
3625,32
3628,341
3629,0
3630,138
3631,-2
3632,-6
3645,-159
3646,0
3652,-20
3653,-238
3661,-108
3663,-463
3664,0
3665,194
3666,9
3669,71
3672,-1
3673,-4147
3675,-113
3679,1
3680,191
3684,37
3685,59
3686,156
3687,-17
3689,1145
3691,-285
3693,-279
3694,-239
3701,-28
3702,-316
3703,347
3704,1682
3705,0
3706,12242
3707,-2267
3708,-5
3709,-470
3710,-103
3711,4522
3712,225
3713,-54
3714,-5802
3715,-130
3716,27
4102,19
4104,60
4105,-247
4106,24
4107,-1
4108,-80
4109,-1
4111,-59
4113,25
4114,-182
4116,-7
4119,-22
4120,7
4121,7
4123,-518
4126,-12
4127,60
4128,23
4129,-56
4130,10
4131,0
4133,39
4137,74
4138,-45
4139,0
4142,80
4147,419
4148,1
4153,-8
4154,0
4155,3
4157,211
4160,-3
4161,-12
4162,27
4163,-140
4164,4
4167,171
4168,7
4171,-20
4173,-9
4174,131
4175,-7
4183,0
4188,-32
4190,4
4192,1
4198,0
4205,-2
4207,-15
4303,269
4304,-6
4305,0
4306,1196
4401,-3
4402,1
4406,0
4413,0
4414,-52
4416,-27
4417,-71
4419,-3
4420,1
4426,35
4430,-3
