股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2303,聯電,74044,158105,129946,4,-140693,-293781,-356955,0
2890,永豐金,55408,99753,111207,4,1220,2456,2824,5
3481,群創,48121,-79760,-205849,3,30478,59730,59847,5
2834,臺企銀,46348,62198,57180,4,-21,-58,-238,0
2892,第一金,31932,33747,-3450,2,3387,18942,22704,4
2317,鴻海,28019,46947,140152,4,2775,6651,14204,5
2609,陽明,27805,67307,78131,5,-29387,-65978,-66315,1
2887,台新金,27079,10878,-110527,2,50316,253942,350845,5
2884,玉山金,26524,53108,45717,4,2840,17433,-13192,2
2882,國泰金,22605,57772,93105,5,-22053,-55845,-96649,0
1301,台塑,20228,21853,31281,3,0,-18,-40,0
2449,京元電子,20207,20736,54955,4,-965,-21059,-35263,0
1326,台化,18523,45597,68582,4,0,-548,-555,0
2002,中鋼,17749,-17761,-30114,2,73,1012,999,4
2867,三商壽,16062,33282,32124,4,0,0,0,0
2027,大成鋼,13673,23718,28425,5,-8447,-8418,-8423,1
2881,富邦金,11610,24588,85209,5,-23947,-29849,-85059,1
1605,華新,11509,1639,25022,3,36,500,1836,5
5880,合庫金,11099,16298,12133,3,930,1690,1924,5
2610,華航,11070,10226,52447,4,295,4374,4074,2
2406,國碩,10781,17912,19202,4,0,0,0,0
3706,神達,10591,30557,49337,4,-42,17,30,3
8422,可寧衛,10544,15064,15671,4,-3682,-10262,-10346,0
2481,強茂,10307,-6821,-24951,1,5126,11278,26577,4
3702,大聯大,8818,20533,19293,4,-6083,-12963,-13589,0
2301,光寶科,8658,12301,1081,4,-2022,-3112,-3858,0
2897,王道銀行,8455,14295,12674,3,0,-1940,-1940,0
3576,聯合再生,8446,9045,7366,3,0,0,0,0
1402,遠東新,8321,40904,97483,5,2588,-44743,-108342,1
8046,南電,8066,10691,6702,3,-441,124,-4276,1
3374,精材,7824,3005,2101,2,0,-140,-140,0
2354,鴻準,7737,16468,16778,4,0,8,9,2
2356,英業達,7652,-16326,6012,2,15597,32274,49492,5
3711,日月光投控,7524,11125,-1337,3,-3719,-13100,-16475,1
2845,遠東銀,7287,8691,2695,3,-10,-17,-22,0
3264,欣銓,7092,7501,8506,3,-721,-18129,-18466,0
1513,中興電,7023,8690,1861,2,27,644,736,4
2014,中鴻,6514,9387,13282,4,0,0,0,0
6505,台塑化,6148,13811,16348,4,23,51,96,4
6257,矽格,6138,6899,4145,3,-2335,-7403,-7675,0
3036,文曄,5918,14858,15142,4,-6790,-17091,-19065,0
6244,茂迪,5851,6309,8185,3,0,0,0,0
2349,錸德,5607,9504,14335,5,0,0,0,0
1101,台泥,5592,12696,11221,4,41,735,766,3
6443,元晶,5543,7694,8196,4,0,0,0,0
6770,力積電,5424,-145321,-29750,3,0,243,466,4
2885,元大金,4738,19678,32244,5,-5203,-27471,-41149,0
3376,新日興,4737,7268,3989,2,0,2,2,1
6176,瑞儀,3878,12923,13370,5,-5548,-12388,-12567,0
3042,晶技,3753,4282,841,3,-149,0,80,3
2402,毅嘉,3490,3234,3016,3,0,-102,-1487,0
6182,合晶,3470,5385,5310,4,0,0,123,1
3037,欣興,3333,845,39,3,-1907,-7014,-6770,1
2308,台達電,2633,1749,166,2,41,-225,258,3
3324,雙鴻,2612,5905,6512,5,1,1,11,4
2368,金像電,2421,4481,5336,5,-289,-2159,-2863,0
6191,精成科,2347,2412,-2977,2,293,303,303,2
3305,昇貿,2343,-497,-606,2,0,0,0,0
5347,世界,2263,12947,8842,3,-5658,-16860,-13554,2
6412,群電,2011,4964,5405,5,-2278,-5835,-5833,2
2451,創見,1999,3343,7282,5,-2381,-3877,-4306,1
2421,建準,1961,3199,4188,4,-10,253,254,3
2486,一詮,1899,941,352,2,0,-2378,-2958,0
6214,精誠,1673,3200,3897,5,300,299,300,3
3017,奇鋐,1667,2040,1813,3,52,1,365,4
3044,健鼎,1635,483,-500,3,-744,-1359,-1551,1
3689,湧德,1623,2732,5948,5,0,0,0,0
1519,華城,1325,1178,259,2,0,-103,-447,0
6239,力成,1324,3725,11462,3,-4956,-12519,-13664,0
3189,景碩,1265,2359,4016,4,-905,-902,-901,2
2357,華碩,1219,6478,11584,4,1987,2713,3821,4
3413,京鼎,1074,570,625,3,-1,-1403,-1572,0
6415,矽力*-KY,915,417,-28,2,-69,288,-282,2
6442,光聖,898,695,-363,1,-30,-128,-286,2
2404,漢唐,844,1164,1006,3,-2149,-3225,-3356,1
6121,新普,789,1640,2375,5,-501,-774,-830,1
6274,台燿,708,211,-498,3,419,2042,4232,5
2454,聯發科,707,3832,651,2,-908,-2115,-3759,0
8021,尖點,687,1031,2278,5,-5,98,-382,2
8016,矽創,685,-314,-1433,1,27,183,172,3
2345,智邦,652,1382,1218,4,-28,-507,-1023,1
5289,宜鼎,582,196,203,2,-2,93,697,4
5536,聖暉*,554,295,-591,1,-12,207,1098,2
3363,上詮,526,721,129,3,0,17,-5,1
2360,致茂,520,747,433,2,-130,-1067,-1469,0
3406,玉晶光,519,418,868,4,-32,9,-23,2
8996,高力,499,333,-170,2,-30,-352,-637,2
6789,采鈺,497,203,503,3,-1,-202,-200,2
1560,中砂,475,286,82,2,-23,-55,-54,1
6451,訊芯-KY,462,2491,1688,4,-1,70,70,2
6715,嘉基,446,413,312,1,88,177,177,3
3081,聯亞,381,100,-746,2,72,-281,-651,1
6139,亞翔,318,256,-1765,2,-4,-1023,-1047,1
3167,大量,283,682,690,4,-15,-206,-303,0
3163,波若威,235,-712,-868,3,0,-904,-1901,0
6488,環球晶,221,1464,138,4,-444,-1659,1633,2
6781,AES-KY,221,-376,-418,2,-300,-390,-390,0
2383,台光電,201,927,643,3,-76,-871,-731,2
8210,勤誠,169,298,29,3,-43,-128,-404,1
6669,緯穎,91,158,975,4,-35,50,34,3
6515,穎崴,41,222,172,3,-41,-238,-494,0
