排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,62894,158103
2,3231,緯創,電腦及週邊設備業,上市,-4688,148566
3,2317,鴻海,其他電子業,上市,24355,141871
4,2409,友達,光電業,上市,6577,115667
5,2337,旺宏,半導體業,上市,-17839,100748
6,2408,南亞科,半導體業,上市,-26466,89401
7,2883,凱基金,金融保險業,上市,57622,82520
8,2353,宏碁,電腦及週邊設備業,上市,-24162,80175
9,1303,南亞,塑膠工業,上市,1616,75073
10,1326,台化,塑膠工業,上市,16943,68175
11,2324,仁寶,電腦及週邊設備業,上市,-28607,65255
12,2618,長榮航,航運業,上市,6317,55814
13,2886,兆豐金,金融保險業,上市,-217,55555
14,1605,華新,電器電纜,上市,21946,53766
15,2610,華航,航運業,上市,10830,50301
16,3706,神達,電腦及週邊設備業,上市,12242,48798
17,2890,永豐金,金融保險業,上市,29485,43447
18,2891,中信金,金融保險業,上市,13444,42887
19,2834,臺企銀,金融保險業,上市,42060,41761
20,2603,長榮,航運業,上市,9404,38570
21,2356,英業達,電腦及週邊設備業,上市,19504,37225
22,1101,台泥,水泥工業,上市,6448,37024
23,2382,廣達,電腦及週邊設備業,上市,6546,36546
24,2880,華南金,金融保險業,上市,20165,36257
25,2884,玉山金,金融保險業,上市,25033,32551
26,1409,新纖,紡織纖維,上市,3091,30885
27,6770,力積電,半導體業,上市,902,28658
28,2867,三商壽,金融保險業,上市,12651,24323
29,2349,錸德,光電業,上市,17343,23797
30,6116,彩晶,光電業,上市,4070,23605
31,1301,台塑,塑膠工業,上市,17194,23433
32,2323,中環,光電業,上市,10673,21609
33,6505,台塑化,油電燃氣業,上市,6753,17555
34,2449,京元電子,半導體業,上市,16883,17365
35,2406,國碩,光電業,上市,9684,16868
36,3049,精金,光電業,上市,3207,16339
37,2354,鴻準,其他電子業,上市,6628,15843
38,4938,和碩,電腦及週邊設備業,上市,-774,15064
39,1513,中興電,電機機械,上市,18663,14966
40,2892,第一金,金融保險業,上市,24551,14815
41,2609,陽明,航運業,上市,-936,14240
42,6548,長科*,半導體業,上櫃,1399,14117
43,2882,國泰金,金融保險業,上市,6377,13938
44,5880,合庫金,金融保險業,上市,9100,13130
45,8112,至上,電子通路業,上市,-4348,12509
46,2027,大成鋼,鋼鐵工業,上市,3608,12451
47,2412,中華電,通信網路業,上市,1065,12400
48,2357,華碩,電腦及週邊設備業,上市,1380,11827
49,1718,中纖,化學工業,上市,5339,10956
50,1714,和桐,化學工業,上市,7328,10831
