股票代碼,公司名稱,符合策略數,符合策略
6191,精成科,3,"大戶持有, 投信連續, 隔日衝"
3605,宏致,3,"大戶持有, 強勢股, 盤整突破"
6182,合晶,2,"大戶持有, 隔日衝"
3374,精材,2,"外資買超, 隔日衝"
3035,智原,2,"外資買超, 隔日衝"
2618,長榮航,2,"外資買超, 投信連續"
2892,第一金,2,"外資買超, 投信連續"
2890,永豐金,2,"外資買超, 投信連續"
2886,兆豐金,2,"外資買超, 投信連續"
2889,國票金,2,"外資買超, 盤整突破"
2377,微星,2,"外資買超, 投信連續"
2880,華南金,2,"外資買超, 投信連續"
3026,禾伸堂,2,"外資買超, 盤整突破"
6271,同欣電,2,"外資買超, 大戶持有"
2376,技嘉,2,"外資買超, 投信連續"
3227,原相,2,"大戶持有, 投信連續"
1810,和成,2,"強勢股, 盤整突破"
2601,益航,2,"強勢股, 盤整突破"
4128,中天,2,"強勢股, 盤整突破"
6901,鑽石投資,2,"強勢股, 盤整突破"
1314,中石化,2,"大戶持有, 盤整突破"
3413,京鼎,2,"大戶持有, 盤整突破"
7402,邑錡,2,"大戶持有, 盤整突破"
6753,龍德造船,2,"大戶持有, 盤整突破"
6133,金橋,2,"大戶持有, 盤整突破"
4989,榮科,2,"大戶持有, 盤整突破"
