股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1402,遠東新,26.85,5,19044566,3808,29.8,26.8,11.19%
2027,大成鋼,39.5,4,2711349,542,41.65,39.35,5.84%
2313,華通,235.0,4,3815000,763,245.0,215.0,13.95%
2317,鴻海,236.5,4,5230625,1046,247.5,234.0,5.77%
2377,微星,149.5,5,5349000,1069,153.0,136.0,12.50%
2382,廣達,378.0,5,8959416,1791,393.0,367.0,7.08%
2412,中華電,133.5,4,8678724,1735,142.5,133.0,7.14%
2458,義隆,183.0,5,4814249,962,196.5,178.0,10.39%
2610,華航,21.05,5,4627507,925,22.95,20.9,9.81%
2886,兆豐金,47.0,5,32246857,6449,47.3,45.35,4.30%
2890,永豐金,40.2,4,6109375,1221,42.3,39.95,5.88%
2891,中信金,66.5,5,20129061,4025,72.2,66.1,9.23%
2892,第一金,33.65,4,15384878,3076,34.15,32.35,5.56%
3045,台灣大,109.5,4,10554223,2110,119.5,106.0,12.74%
5469,瀚宇博,80.1,4,4707000,941,89.5,79.5,12.58%
8069,元太,196.0,5,2886627,577,215.0,195.5,9.97%
