排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,4971,IET-KY,半導體類,13.0,38.2,442.0,443.0,375.0,375.0,-15.2
2,4714,永捷,化學工業,7.8,36.8,11.9,12.05,10.9,10.95,-8.0
3,3540,曜越,電腦及週邊類,4.6,20.7,24.05,24.1,21.1,21.35,-11.2
4,4977,眾達-KY,全部,3.8,20.0,157.0,157.0,130.0,130.0,-17.2
5,1312,國喬,全部,9.0,17.6,13.6,13.95,12.8,12.85,-5.5
6,8039,台虹,全部,9.7,16.6,143.0,201.0,142.0,192.5,34.6
7,5351,鈺創,半導體類,5.3,15.2,89.3,105.5,88.0,88.0,-1.5
8,4939,亞電,電子零組件類,4.6,14.4,58.5,67.6,53.2,60.2,2.9
9,6538,倉和,電子零組件類,3.8,11.5,133.0,162.0,128.5,137.0,3.0
10,1316,上曜,全部,4.0,10.3,10.35,10.55,10.0,10.05,-2.9
11,2486,一詮,光電業,3.3,8.4,245.0,273.5,226.0,235.5,-3.9
12,8028,昇陽半導體,全部,4.2,8.1,312.0,351.5,276.0,315.0,1.0
13,2484,希華,全部,2.2,7.5,91.5,95.7,76.3,80.7,-11.8
14,6517,保勝光學,光電業類,1.4,7.1,65.3,75.8,65.0,73.9,13.2
15,3413,京鼎,全部,3.5,7.1,343.0,383.5,313.0,371.0,8.2
16,3033,威健,全部,3.0,7.1,49.9,59.4,48.8,48.8,-2.2
17,1586,和勤,電機機械,5.0,7.0,19.25,19.3,17.75,18.0,-6.5
18,4534,慶騰,電機機械,2.9,6.9,32.9,44.5,32.55,41.7,26.7
19,6175,立敦,電子零組件類,4.1,6.8,108.0,113.0,97.0,99.0,-8.3
20,3149,正達,光電業,1.6,6.8,87.0,97.8,79.3,79.6,-8.5
21,3576,聯合再生,光電業,2.0,6.2,16.15,18.25,16.15,17.85,10.5
22,1536,和大,全部,2.0,6.2,50.5,57.2,49.1,49.45,-2.1
23,6243,迅杰,全部,1.4,6.0,39.5,52.5,36.05,51.6,30.6
24,3339,泰谷,光電業類,1.4,5.8,39.5,39.5,33.0,36.2,-8.4
25,2359,所羅門,全部,2.6,5.7,139.0,151.5,135.5,141.0,1.4
26,8383,千附,其他電子類,2.9,5.6,69.7,95.0,69.7,89.0,27.7
27,3006,晶豪科,全部,2.8,5.4,219.0,243.5,198.0,198.0,-9.6
28,6721,信實,其他,2.5,5.0,54.7,54.7,52.6,52.7,-3.7
29,8147,正淩,電子零組件類,2.3,5.0,150.0,152.5,130.0,130.5,-13.0
30,5483,中美晶,半導體類,3.0,4.8,207.0,279.5,204.0,235.5,13.8
31,6261,久元,半導體類,1.8,4.7,92.0,92.9,83.6,83.9,-8.8
32,8150,南茂,全部,3.4,4.7,108.5,125.0,103.5,110.5,1.8
33,1709,和益,全部,2.8,4.4,23.95,28.3,23.5,26.05,8.8
34,6533,晶心科,全部,0.9,4.1,193.0,247.0,191.0,210.0,8.8
35,6207,雷科,電子零組件類,0.8,4.0,132.0,158.0,126.5,130.5,-1.1
36,2485,兆赫,全部,0.8,4.0,51.0,52.2,43.2,43.4,-14.9
37,6532,瑞耘,半導體類,1.3,3.9,80.6,80.6,69.0,69.7,-13.5
38,1540,喬福,全部,1.3,3.7,22.45,23.65,21.45,21.65,-3.6
39,3665,貿聯-KY,全部,2.1,3.6,1905.0,1985.0,1725.0,1765.0,-7.3
40,2313,華通,全部,2.0,3.6,232.0,248.0,212.0,212.0,-8.6
41,3390,旭軟,電子零組件類,1.1,3.5,26.7,27.6,24.05,24.1,-9.7
42,6770,力積電,全部,1.5,3.4,71.5,79.5,63.4,68.9,-3.6
43,6684,安格,半導體類,1.1,3.2,56.6,56.8,47.8,49.35,-12.8
44,3483,力致,電腦及週邊類,0.7,3.2,89.0,89.2,77.0,77.2,-13.3
45,6593,台灣銘板,資訊服務類,1.4,3.2,33.6,35.0,32.85,33.0,-1.8
46,4923,力士,半導體類,1.1,3.1,68.3,70.5,48.7,48.9,-28.4
47,4133,亞諾法,全部,0.7,3.1,20.85,22.35,20.0,22.35,7.2
48,6141,柏承,全部,1.6,3.1,35.6,44.0,34.25,40.7,14.3
49,5388,中磊,全部,1.6,3.1,83.9,91.1,82.8,83.3,-0.7
50,6830,汎銓,全部,1.0,3.0,417.0,426.0,355.5,358.5,-14.0
