排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_伺服器主板與印刷電路板,1.5,80.0,4/5,15.93,45.26,-36.5,-98.21
2,記憶體封裝與測試,5.42,75.0,3/4,17.4,50.2,-3.6,-11.05
3,玻璃,1.01,73.33,11/15,62.95,119.67,-59.39,-132.11
4,廠務系統與水處理,0.62,71.43,5/7,0.29,1.04,0.0,-0.08
5,BBU_電池模組,1.29,71.43,5/7,3.02,-2.98,1.5,1.3
6,電池或電源,1.58,70.0,14/20,50.89,78.69,65.27,70.64
7,IC設計,2.03,69.23,9/13,156.7,325.83,17.08,-34.5
8,塑膠,0.4,61.11,11/18,10.18,-10.0,7.8,68.72
9,記憶體控制IC,1.26,60.0,3/5,-8.87,-2.41,0.07,1.55
10,BBU_電源供應器與整合,2.13,60.0,3/5,47.34,76.57,63.14,67.22
11,航運,-0.07,60.0,9/15,1.15,23.68,0.78,10.65
12,金融,0.38,57.89,11/19,10.18,-10.0,7.8,68.72
13,低軌衛星,1.52,57.14,4/7,-17.29,-26.73,-16.72,-44.26
14,化學,0.5,55.0,11/20,6.58,-3.52,6.25,67.83
15,網通設備組件,1.53,55.0,11/20,111.3,233.21,36.8,15.91
16,PCB,0.92,53.33,8/15,29.07,-102.47,-132.68,-242.19
17,銅,0.95,50.0,5/10,100.0,44.75,-94.32,-158.92
18,TPU_散熱,0.84,50.0,2/4,-21.36,-32.76,22.02,40.61
19,CPO_光通訊,0.07,50.0,3/6,-37.57,-67.84,29.68,37.47
20,銀,-0.03,50.0,2/4,1.09,3.66,3.64,4.37
21,軍工_無人機相關,0.77,50.0,4/8,158.23,309.72,15.67,11.7
22,機器人,0.45,42.86,6/14,34.02,67.91,63.59,67.62
23,CPO_先進封裝測試,-2.46,40.0,2/5,-18.93,28.3,-26.24,-28.96
24,無塵室與機電工程,-1.16,40.0,2/5,-16.18,2.01,6.43,4.13
25,電器電纜,0.35,40.0,4/10,3.99,8.43,0.64,2.19
26,鋼鐵,-0.21,33.33,5/15,-5.73,-3.77,1.43,-1.15
27,軍工_航太製造與維修,-0.97,33.33,2/6,-1.05,0.11,0.0,0.0
28,被動元件,0.26,31.58,6/19,26.11,73.03,65.93,75.35
29,半導體設備,-1.29,28.57,2/7,1.14,1.33,-3.09,-2.44
30,工業自動化與機器人,-0.24,28.57,2/7,-4.26,-9.87,-0.02,0.03
31,造紙,-0.09,28.57,2/7,-0.15,-0.03,0.0,0.0
32,記憶體模組,-0.5,28.57,2/7,15.63,41.48,-0.11,5.95
33,軟體設計,-1.4,26.67,4/15,-3.22,5.82,0.0,-0.0
34,光學元件或組裝,-0.74,26.67,4/15,-89.12,-176.33,40.35,60.62
35,TPU_光通訊與連接器,0.27,25.0,1/4,-36.89,-66.09,16.42,-0.48
36,紡織,-0.27,20.0,4/20,-2.2,-0.1,-0.02,-1.36
37,記憶體製造,-1.84,0.0,0/4,-82.8,235.9,-1.62,24.39
