排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,2610,華航,航運業,上市,4,5894,152405
2,2618,長榮航,航運業,上市,4,13676,104719
3,2892,第一金,金融保險業,上市,5,5596,43497
4,5880,合庫金,金融保險業,上市,4,1469,40556
5,1718,中纖,化學工業,上市,3,20573,36139
6,2801,彰銀,金融保險業,上市,4,5557,35125
7,1314,中石化,塑膠工業,上市,4,7975,30193
8,6213,聯茂,電子零組件業,上市,4,3216,28388
9,8046,南電,電子零組件業,上市,4,8109,26866
10,2887,台新金,金融保險業,上市,4,10004,26505
11,2890,永豐金,金融保險業,上市,5,2712,21596
12,1402,遠東新,紡織纖維,上市,5,2827,19873
13,2886,兆豐金,金融保險業,上市,4,2877,17582
14,2845,遠東銀,金融保險業,上市,4,2501,10783
15,2812,台中銀,金融保險業,上市,4,21,10102
16,6226,光鼎,光電業,上市,5,4243,9435
17,2867,三商壽,金融保險業,上市,4,505,8567
18,2377,微星,電腦及週邊設備業,上市,5,4353,7850
19,5328,華容,電子零組件業,上櫃,3,5978,6138
20,6505,台塑化,油電燃氣業,上市,4,711,6000
21,3189,景碩,半導體業,上市,3,564,5273
22,6191,精成科,電子零組件業,上市,3,7701,5139
23,5469,瀚宇博,電子零組件業,上市,3,4593,4443
24,1310,台苯,塑膠工業,上市,3,466,3946
25,2483,百容,電子零組件業,上市,4,1870,3722
26,2478,大毅,電子零組件業,上市,5,92,3109
27,2881,富邦金,金融保險業,上市,3,2637,3059
28,1102,亞泥,水泥工業,上市,4,340,3022
29,2404,漢唐,其他電子業,上市,3,567,2939
30,6139,亞翔,其他電子業,上市,3,1516,2858
31,8182,加高,電子零組件業,上櫃,4,3269,2842
32,2476,鉅祥,電子零組件業,上市,5,879,2565
33,2347,聯強,電子通路業,上市,4,483,2281
34,1304,台聚,塑膠工業,上市,4,669,2088
35,4904,遠傳,通信網路業,上市,3,454,2076
36,4306,炎洲,塑膠工業,上市,5,522,2062
37,8021,尖點,其他電子業,上市,5,9,2038
38,2006,東和鋼鐵,鋼鐵工業,上市,5,213,2007
39,2520,冠德,建材營造業,上市,4,491,1997
40,2633,台灣高鐵,航運業,上市,3,35,1840
41,1210,大成,食品工業,上市,5,47,1836
42,2915,潤泰全,貿易百貨業,上市,4,239,1829
43,8476,台境*,綠能環保,上市,5,295,1760
44,9945,潤泰新,其他業,上市,3,1269,1671
45,5464,霖宏,電子零組件業,上櫃,5,416,1568
46,6202,盛群,半導體業,上市,3,2210,1543
47,1444,力麗,紡織纖維,上市,4,1123,1540
48,2316,楠梓電,電子零組件業,上市,4,403,1458
49,3217,優群,電子零組件業,上櫃,5,229,1434
50,1907,永豐餘,造紙工業,上市,4,291,1432
51,2527,宏璟,建材營造業,上市,4,638,1417
52,6584,南俊國際,電子零組件業,上櫃,3,279,1402
53,5230,雷笛克光學,光電業,上櫃,3,801,1272
54,6509,聚和,化學工業,上櫃,4,453,1230
55,1308,亞聚,塑膠工業,上市,4,116,1196
56,1305,華夏,塑膠工業,上市,4,222,1170
57,1710,東聯,化學工業,上市,4,1274,1060
58,6291,沛亨,半導體業,上櫃,4,961,1027
59,1709,和益,化學工業,上市,5,311,1023
60,6409,旭隼,其他電子業,上市,3,135,977
61,9921,巨大,運動休閒,上市,3,785,908
62,5512,力麒,建材營造業,上櫃,4,306,851
63,3056,富華新,建材營造業,上市,3,275,837
64,6691,洋基工程,其他電子業,上市,5,339,806
65,9914,美利達,運動休閒,上市,3,552,723
66,1734,杏輝,生技醫療業,上市,5,70,687
67,2206,三陽工業,汽車工業,上市,4,144,640
68,6284,佳邦,電子零組件業,上櫃,3,248,611
69,1342,八貫,其他業,上市,4,284,601
