排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2887,台新金,金融保險業,上市,1570,78355
2,2409,友達,光電業,上市,-22865,73340
3,1326,台化,塑膠工業,上市,-2764,69357
4,2883,凱基金,金融保險業,上市,11692,68732
5,1301,台塑,塑膠工業,上市,-3398,48917
6,3231,緯創,電腦及週邊設備業,上市,22937,47340
7,5880,合庫金,金融保險業,上市,3690,44644
8,2884,玉山金,金融保險業,上市,9903,43018
9,2892,第一金,金融保險業,上市,7681,40089
10,2324,仁寶,電腦及週邊設備業,上市,65675,39721
11,2885,元大金,金融保險業,上市,8473,36897
12,2890,永豐金,金融保險業,上市,1137,31358
13,2845,遠東銀,金融保險業,上市,1312,29855
14,2317,鴻海,其他電子業,上市,26612,26632
15,2891,中信金,金融保險業,上市,5656,25035
16,2356,英業達,電腦及週邊設備業,上市,12467,22782
17,2353,宏碁,電腦及週邊設備業,上市,13067,21172
18,2880,華南金,金融保險業,上市,3515,19647
19,2354,鴻準,其他電子業,上市,1471,18977
20,2882,國泰金,金融保險業,上市,1726,18973
21,2377,微星,電腦及週邊設備業,上市,12022,18841
22,2801,彰銀,金融保險業,上市,-1866,17033
23,2382,廣達,電腦及週邊設備業,上市,8695,15565
24,2618,長榮航,航運業,上市,-2137,15323
25,1717,長興,化學工業,上市,-4566,14684
26,2313,華通,電子零組件業,上市,4860,14121
27,2886,兆豐金,金融保險業,上市,-3620,11795
28,2464,盟立,其他電子業,上市,-5058,11775
29,5876,上海商銀,金融保險業,上市,1847,11281
30,2609,陽明,航運業,上市,920,11149
31,3714,富采,光電業,上市,9345,10709
32,2897,王道銀行,金融保險業,上市,-835,10541
33,3374,精材,半導體業,上櫃,1360,10218
34,4938,和碩,電腦及週邊設備業,上市,8112,9627
35,2455,全新,通信網路業,上市,170,9298
36,2610,華航,航運業,上市,-1781,9027
37,2881,富邦金,金融保險業,上市,3632,8872
38,1314,中石化,塑膠工業,上市,-1865,8820
39,2421,建準,電子零組件業,上市,52,8808
40,4763,材料-KY,化學工業,上市,999,8619
41,1402,遠東新,紡織纖維,上市,265,8049
42,2312,金寶,其他電子業,上市,5157,8030
43,3045,台灣大,通信網路業,上市,756,8002
44,3324,雙鴻,其他電子業,上櫃,471,7766
45,1815,富喬,電子零組件業,上櫃,-2042,7159
46,2388,威盛,半導體業,上市,5256,7071
47,6271,同欣電,半導體業,上市,5666,6898
48,6505,台塑化,油電燃氣業,上市,657,6617
49,2542,興富發,建材營造業,上市,-194,6213
50,2412,中華電,通信網路業,上市,70,6145
