排名,股票代碼,公司名稱,公司產業,上市櫃,今日主力買超(張),5日累積買超(張)
1,2303,聯電,半導體業,上市,90568,84711
2,2883,凱基金,金融保險業,上市,2189,42765
3,5880,合庫金,金融保險業,上市,2166,38480
4,2884,玉山金,金融保險業,上市,2314,35790
5,2885,元大金,金融保險業,上市,4513,35113
6,2845,遠東銀,金融保險業,上市,5016,33001
7,2892,第一金,金融保險業,上市,3045,31590
8,2880,華南金,金融保險業,上市,2887,17694
9,5876,上海商銀,金融保險業,上市,3572,16563
10,2882,國泰金,金融保險業,上市,1842,10380
11,5483,中美晶,半導體業,上櫃,239,7999
12,2412,中華電,通信網路業,上市,842,7212
13,3045,台灣大,通信網路業,上市,24,6883
14,2454,聯發科,半導體業,上市,4509,6247
15,2855,統一證,金融保險業,上市,2853,5306
16,3374,精材,半導體業,上櫃,967,3957
17,8431,匯鑽科,其他電子業,上櫃,78,3285
18,2617,台航,航運業,上市,1222,3011
19,6538,倉和,電子零組件業,上櫃,53,2806
20,2605,新興,航運業,上市,1554,2401
21,3693,營邦,電腦及週邊設備業,上櫃,354,2107
22,6214,精誠,資訊服務業,上市,236,1769
23,6426,統新,通信網路業,上市,895,1680
24,5443,均豪,光電業,上櫃,2331,1616
25,3532,台勝科,半導體業,上市,258,1485
26,2511,太子,建材營造業,上市,532,1023
27,4770,上品,化學工業,上市,356,1018
28,3023,信邦,電子零組件業,上市,144,947
29,3219,倚強科,其他電子業,上櫃,89,544
30,6026,福邦證,金融保險業,上櫃,37,517
31,4912,聯德控股-KY,電子零組件業,上市,13,516
32,1604,聲寶,電器電纜,上市,103,335
33,2461,光群雷,其他電子業,上市,110,324
34,6743,安普新,其他電子業,上市,33,290
35,6235,華孚,電腦及週邊設備業,上市,14,275
36,3533,嘉澤,電子零組件業,上市,60,253
37,9910,豐泰,運動休閒,上市,305,252
38,1215,卜蜂,食品工業,上市,115,243
39,2207,和泰車,汽車工業,上市,9,221
40,2493,揚博,電子零組件業,上市,90,211
41,1558,伸興,電機機械,上市,33,211
42,2302,麗正,半導體業,上市,90,202
43,6838,台新藥,生技醫療業,上市,14,195
44,2613,中櫃,航運業,上市,30,185
45,3551,世禾,綠能環保,上櫃,4,169
46,8277,商丞,半導體業,上櫃,33,164
47,1789,神隆,生技醫療業,上市,119,153
48,6840,東研信超,其他電子業,上櫃,7,144
49,2440,太空梭,電子零組件業,上市,56,133
50,5432,新門,綠能環保,上櫃,142,130
51,3705,永信,生技醫療業,上市,79,130
52,5263,智崴,文化創意業,上櫃,9,129
53,1733,五鼎,生技醫療業,上市,21,106
54,4924,欣厚-KY,電腦及週邊設備業,上櫃,21,103
55,6021,美好證,金融保險業,上櫃,51,100
56,2545,皇翔,建材營造業,上市,26,100
57,3188,鑫龍騰,建材營造業,上櫃,5,94
58,2908,特力,貿易百貨業,上市,32,87
59,2206,三陽工業,汽車工業,上市,13,81
60,6996,力領科技,半導體業,上櫃,2,75
61,6588,東典光電,通信網路業,上櫃,56,70
62,6870,騰雲,數位雲端,上櫃,8,70
63,5529,鉅陞,建材營造業,上櫃,25,65
64,6741,91APP*-KY,數位雲端,上櫃,8,60
65,1442,名軒,建材營造業,上市,10,50
66,9912,偉聯,電腦及週邊設備業,上市,7,49
67,6506,雙邦,紡織纖維,上櫃,5,48
68,1459,聯發,紡織纖維,上市,12,47
69,6170,統振,通信網路業,上櫃,2,46
70,1586,和勤,電機機械,上櫃,20,37
71,9940,信義,其他業,上市,12,35
72,8935,邦泰,其他業,上櫃,1,32
73,3206,志豐,電子零組件業,上櫃,15,27
74,2062,橋椿,居家生活,上市,10,25
75,6928,攸泰科技,電腦及週邊設備業,上市,3,23
76,1236,宏亞,食品工業,上市,10,20
77,1725,元禎,化學工業,上市,7,18
78,2430,燦坤,電子通路業,上市,4,18
79,5701,劍湖山,觀光餐旅,上櫃,7,17
80,6283,淳安,其他電子業,上市,2,16
81,3306,鼎天,通信網路業,上櫃,3,15
82,2748,雲品,觀光餐旅,上市,6,15
83,2028,威致,鋼鐵工業,上市,2,14
84,4138,曜亞,生技醫療業,上櫃,6,12
85,6578,達邦蛋白,農業科技業,上櫃,2,9
86,1452,宏益,紡織纖維,上市,2,8
87,2314,台揚,通信網路業,上市,2,8
88,1103,嘉泥,水泥工業,上市,14,6
89,1219,福壽,食品工業,上市,22,-3
90,1531,高林股,電機機械,上市,27,-5
91,2704,國賓,觀光餐旅,上市,1,-7
92,2023,燁輝,鋼鐵工業,上市,169,-15
93,2007,燁興,鋼鐵工業,上市,7,-63
94,2543,皇昌,建材營造業,上市,88,-337
95,2404,漢唐,其他電子業,上市,96,-711
96,3702,大聯大,電子通路業,上市,193,-2174
97,2308,台達電,電子零組件業,上市,494,-3494
98,2609,陽明,航運業,上市,336,-9060
