股票代碼,公司名稱,符合策略數,符合策略
6182,合晶,3,"大戶持有, 盤整突破, 隔日衝"
6191,精成科,3,"大戶持有, 投信連續, 隔日衝"
1314,中石化,3,"外資買超, 大戶持有, 盤整突破"
1409,新纖,3,"外資買超, 強勢股, 盤整突破"
3413,京鼎,3,"外資買超, 大戶持有, 盤整突破"
3374,精材,2,"外資買超, 隔日衝"
2834,臺企銀,2,"外資買超, 隔日衝"
2618,長榮航,2,"外資買超, 投信連續"
2892,第一金,2,"外資買超, 投信連續"
3042,晶技,2,"外資買超, 大戶持有"
2890,永豐金,2,"外資買超, 投信連續"
2634,漢翔,2,"外資買超, 盤整突破"
2885,元大金,2,"外資買超, 投信連續"
1609,大亞,2,"外資買超, 盤整突破"
2458,義隆,2,"外資買超, 投信連續"
2484,希華,2,"外資買超, 大戶持有"
8112,至上,2,"外資買超, 投信連續"
2375,凱美,2,"外資買超, 大戶持有"
1477,聚陽,2,"外資買超, 投信連續"
2645,長榮航太,2,"外資買超, 盤整突破"
3532,台勝科,2,"外資買超, 盤整突破"
6488,環球晶,2,"外資買超, 盤整突破"
3363,上詮,2,"外資買超, 大戶持有"
5269,祥碩,2,"外資買超, 大戶持有"
3227,原相,2,"大戶持有, 投信連續"
1810,和成,2,"強勢股, 盤整突破"
3511,矽瑪,2,"強勢股, 盤整突破"
5392,能率,2,"大戶持有, 強勢股"
3605,宏致,2,"大戶持有, 盤整突破"
6133,金橋,2,"大戶持有, 盤整突破"
7402,邑錡,2,"大戶持有, 盤整突破"
6753,龍德造船,2,"大戶持有, 盤整突破"
4989,榮科,2,"大戶持有, 盤整突破"
3055,蔚華科,2,"大戶持有, 盤整突破"
4533,協易機,2,"大戶持有, 盤整突破"
2359,所羅門,2,"大戶持有, 盤整突破"
