股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1727,中華化,43.4,14.51%,24383,1.6
2303,聯電,50.9,3.25%,65904,1.59
2313,華通,96.5,14.47%,77050,3.22
2413,環科,33.65,12.92%,10027,3.33
2880,華南金,31.9,4.42%,45806,2.66
2882,國泰金,76.5,10.87%,45705,2.43
2890,永豐金,29.3,6.93%,43679,1.63
2891,中信金,50.4,13.13%,71558,2.51
3030,德律,192.5,13.57%,14147,2.95
3105,穩懋,191.0,25.66%,26087,1.64
5309,系統電,72.2,13.7%,42511,1.93
5498,凱崴,40.55,53.89%,83103,2.74
6127,九豪,33.9,18.74%,17123,3.81
6443,元晶,24.85,82.05%,23344,3.13
6706,惠特,119.0,0.0%,14367,2.01
8074,鉅橡,45.95,25.55%,22669,4.47
