股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1402,遠東新,28.8,4,42392389,8478,29.3,27.0,8.52%
1513,中興電,181.0,4,7981837,1596,181.0,168.0,7.74%
2377,微星,137.0,4,2920358,584,142.5,133.5,6.74%
2382,廣達,380.0,5,4877127,975,386.5,358.0,7.96%
2504,國產,32.8,4,7520785,1504,36.95,32.7,13.00%
2610,華航,21.8,4,2861034,572,22.4,20.95,6.92%
2633,台灣高鐵,25.95,4,27421684,5484,26.6,25.5,4.31%
2845,遠東銀,12.85,4,30957064,6191,13.45,12.8,5.08%
2884,玉山金,35.8,5,21668587,4333,36.6,34.4,6.40%
2886,兆豐金,44.75,5,90908398,18181,46.0,43.4,5.99%
2892,第一金,32.3,4,76054225,15210,32.8,31.05,5.64%
2912,統一超,221.0,4,3132281,626,232.0,221.0,4.98%
3231,緯創,162.5,4,11313012,2262,166.0,158.0,5.06%
3706,神達,87.4,4,2654175,530,89.6,83.6,7.18%
5876,上海商銀,41.45,5,25304730,5060,43.5,41.4,5.07%
8926,台汽電,79.0,5,3775000,755,82.0,72.2,13.57%
