股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
4931,新盛力,BBU_電池模組,1.2,2.42,2028
6121,新普,BBU_電池模組,1.0,2.31,919
3323,加百裕,BBU_電池模組,0.13,-1.51,1582
6558,興能高,BBU_電池模組,0.0,-2.2,628
3625,西勝,BBU_電池模組,-1.0,-1.49,449
3211,順達,BBU_電池模組,-1.16,-7.91,5049
6781,AES-KY,BBU_電池模組,-6.81,-10.03,3783
5309,系統電,BBU_電源供應器與整合,2.75,3.25,12709
3305,昇貿,BBU_電源供應器與整合,1.12,2.27,2417
2301,光寶科,BBU_電源供應器與整合,0.31,0.31,8776
2308,台達電,BBU_電源供應器與整合,0.0,-1.81,5977
3625,西勝,BBU_電源供應器與整合,-1.0,-1.49,449
6257,矽格,CPO_先進封裝測試,9.65,9.17,13671
3265,台星科,CPO_先進封裝測試,5.09,4.32,1214
6451,訊芯-KY,CPO_先進封裝測試,1.91,-0.93,805
3363,上詮,CPO_先進封裝測試,-0.86,-3.47,956
6515,穎崴,CPO_先進封裝測試,-1.56,-2.51,504
4979,華星光,CPO_光通訊,2.92,3.14,22410
4977,眾達-KY,CPO_光通訊,2.83,4.1,8453
2455,全新,CPO_光通訊,2.56,0.36,3459
6442,光聖,CPO_光通訊,1.27,-4.0,558
3081,聯亞,CPO_光通訊,0.0,3.87,404
3163,波若威,CPO_光通訊,0.0,4.31,13719
2388,威盛,IC設計,9.85,10.49,9262
6531,愛普*,IC設計,2.77,2.13,1968
2454,聯發科,IC設計,1.05,2.86,6112
3035,智原,IC設計,-0.29,1.47,3046
3035,智原,IC設計,-0.29,1.47,3046
6533,晶心科,IC設計,-0.37,0.56,186
3529,力旺,IC設計,-0.75,-2.94,683
6643,M31,IC設計,-1.06,-6.64,326
3661,世芯-KY,IC設計,-1.11,-2.19,791
3661,世芯-KY,IC設計,-1.11,-2.19,791
3443,創意,IC設計,-2.93,0.47,2485
3443,創意,IC設計,-2.93,0.47,2485
8054,安國,IC設計,-4.07,-3.08,9136
2367,燿華,PCB,4.55,3.27,4839
3715,定穎投控,PCB,4.46,2.18,30255
