排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_散熱,2.64,100.0,4/4,28.86,89.64,9.87,27.76
2,CPO_光通訊,2.95,83.33,5/6,0.93,-0.79,6.15,7.97
3,軍工_航太製造與維修,1.95,83.33,5/6,-6.33,-13.75,3.78,11.42
4,TPU_光通訊與連接器,1.02,75.0,3/4,-6.26,-5.2,4.92,10.18
5,銅,0.7,70.0,7/10,-1.51,3.8,6.71,30.83
6,軍工_無人機相關,1.93,66.67,6/9,-26.28,-66.78,4.36,12.28
7,化學,0.74,65.0,13/20,2.15,-3.44,-3.66,0.19
8,CPO_先進封裝測試,0.55,60.0,3/5,-3.47,-4.35,-1.28,-4.52
9,無塵室與機電工程,0.77,60.0,3/5,15.08,6.55,-2.47,-19.24
10,TPU_伺服器主板與印刷電路板,-0.15,60.0,3/5,-9.55,5.16,1.94,17.66
11,光學元件或組裝,1.16,60.0,9/15,-9.15,-22.46,6.65,13.98
12,半導體設備,-0.03,57.14,4/7,1.99,13.28,-2.3,-7.81
13,低軌衛星,1.96,57.14,4/7,7.57,25.1,0.74,3.99
14,機器人,-0.04,50.0,7/14,-0.74,34.84,-11.13,-31.53
15,電器電纜,-0.48,50.0,5/10,4.53,32.64,-1.4,-6.14
16,網通設備組件,0.92,50.0,10/20,-3.44,4.01,17.07,44.3
17,PCB,0.15,46.67,7/15,11.27,81.18,1.25,17.14
18,航運,-0.07,46.67,7/15,-6.34,14.65,11.75,14.56
19,記憶體模組,0.08,42.86,3/7,-16.89,23.28,-14.28,-38.12
20,工業自動化與機器人,0.06,42.86,3/7,-0.43,1.32,0.0,0.26
21,廠務系統與水處理,-0.18,28.57,2/7,0.41,1.14,-0.23,-0.23
22,玻璃,0.04,26.67,4/15,1.98,26.25,5.25,20.42
23,被動元件,-0.24,26.32,5/19,-14.0,-9.75,0.74,9.32
24,銀,0.92,25.0,1/4,-1.26,2.34,-1.65,0.64
25,電池或電源,-1.41,25.0,5/20,-16.67,6.08,-2.62,24.7
26,記憶體封裝與測試,-1.58,25.0,1/4,-7.41,6.95,-5.5,-17.22
27,紡織,-0.21,25.0,5/20,1.91,8.87,-2.68,-10.54
28,IC設計,-0.75,23.08,3/13,-21.69,-69.8,1.42,7.42
29,塑膠,-0.16,22.22,4/18,0.38,-15.6,-3.94,-2.22
30,金融,-0.34,21.05,4/19,0.38,-15.6,-3.94,-2.22
31,記憶體控制IC,-1.15,20.0,1/5,-2.69,2.18,-0.11,-0.35
32,BBU_電源供應器與整合,-1.54,20.0,1/5,-10.28,6.89,-1.54,4.75
33,造紙,-0.29,14.29,1/7,-0.14,-0.41,0.0,-0.0
34,軟體設計,-0.72,6.67,1/15,-0.47,2.3,0.0,-0.0
35,鋼鐵,-0.58,6.67,1/15,-4.27,-12.34,5.35,14.98
36,記憶體製造,-1.7,0.0,0/4,-45.35,-40.93,1.34,8.75
37,BBU_電池模組,-2.86,0.0,0/7,-9.26,-19.79,-1.69,18.28
