股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
2493,揚博,2025-12-08,112.0,113.0,0.89%,13924,1509,9.23
6120,達運,2025-12-08,12.85,12.4,-3.5%,13261,2073,6.4
6275,元山,2025-12-08,54.7,54.4,-0.55%,10483,866,12.1
2436,偉詮電,2025-12-08,47.5,49.3,3.79%,8818,1490,5.92
2467,志聖,2025-12-08,214.5,226.5,5.59%,8655,1724,5.02
2605,新興,2025-12-05,30.45,27.6,-9.36%,82102,14770,5.56
4533,協易機,2025-12-05,22.75,22.85,0.44%,12868,1463,8.79
4510,高鋒,2025-12-05,40.5,42.75,5.56%,11244,1789,6.28
3530,晶相光,2025-12-05,74.8,71.2,-4.81%,6847,844,8.11
3354,律勝,2025-12-05,22.6,21.1,-6.64%,5259,528,9.95
2009,第一銅,2025-12-05,48.0,44.3,-7.71%,44938,8041,5.59
2612,中航,2025-12-05,74.1,65.0,-12.28%,24193,4139,5.84
5392,能率,2025-12-05,50.3,49.7,-1.19%,56849,6820,8.33
6120,達運,2025-12-05,11.6,12.4,6.9%,10344,1463,7.07
6215,和椿,2025-12-05,117.0,110.5,-5.56%,13826,1909,7.24
2365,昆盈,2025-12-05,38.2,37.5,-1.83%,54718,4252,12.87
2359,所羅門,2025-12-05,144.5,135.0,-6.57%,28457,3200,8.89
2349,錸德,2025-12-05,11.35,10.9,-3.96%,21311,3429,6.21
8234,新漢,2025-12-05,75.0,76.5,2.0%,8557,1513,5.65
5392,能率,2025-12-04,47.5,49.7,4.63%,22309,4059,5.5
6127,九豪,2025-12-04,30.05,28.55,-4.99%,25611,4742,5.4
1708,東鹼,2025-12-04,33.5,32.45,-3.13%,8760,1709,5.12
2617,台航,2025-12-04,33.8,31.05,-8.14%,9725,1661,5.85
4510,高鋒,2025-12-04,39.8,42.75,7.41%,6368,1260,5.05
2601,益航,2025-12-04,5.62,5.75,2.31%,6640,1264,5.25
2491,吉祥全,2025-12-04,21.25,20.35,-4.24%,8217,1004,8.18
2406,國碩,2025-12-04,22.6,23.1,2.21%,29706,5603,5.3
2349,錸德,2025-12-04,10.8,10.9,0.93%,14828,2439,6.08
2009,第一銅,2025-12-04,44.5,44.3,-0.45%,33933,5854,5.8
8234,新漢,2025-12-04,74.5,76.5,2.68%,6102,1140,5.35
