股票代碼,公司名稱,風險等級,累計注意股次數,連續天數,預測處置原因,最新收盤價,漲幅門檻,跌幅門檻
1711,永光,高,4,3,連續3日注意股（已達連續3日標準）,43.25,+6.0% (>41.71),-6.0% (<36.99)
3092,鴻碩,高,5,4,連續4日注意股（已達連續3日標準）,33.35,+6.0% (>36.04),-6.0% (<31.96)
8033,雷虎,高,5,3,連續3日注意股（已達連續3日標準）,151.0,+6.0% (>155.29),-6.0% (<137.71)
7610,聯友金屬-創,高,4,4,連續4日注意股（已達連續3日標準）,320.0,+6.0% (>340.26),-6.0% (<301.74)
6456,GIS-KY,高,3,3,連續3日注意股（已達連續3日標準）,64.7,+6.0% (>66.99),-6.0% (<59.41)
6451,訊芯-KY,高,3,3,連續3日注意股（已達連續3日標準）,272.0,+6.0% (>295.74),-6.0% (<262.26)
6426,統新,高,9,3,連續3日注意股（已達連續3日標準）,174.0,+6.0% (>168.01),-6.0% (<148.99)
6226,光鼎,高,3,3,連續3日注意股（已達連續3日標準）,14.65,+6.0% (>14.15),-6.0% (<12.55)
6176,瑞儀,高,6,3,連續3日注意股（已達連續3日標準）,93.0,+6.0% (>100.70),-6.0% (<89.30)
6152,百一,高,3,3,連續3日注意股（已達連續3日標準）,20.35,+6.0% (>20.14),-6.0% (<17.86)
6141,柏承,高,9,3,連續3日注意股（已達連續3日標準）,28.3,+6.0% (>27.56),-6.0% (<24.44)
4956,光鋐,高,4,4,連續4日注意股（已達連續3日標準）,34.9,+6.0% (>33.66),-6.0% (<29.84)
4949,有成精密,高,4,4,連續4日注意股（已達連續3日標準）,72.1,+6.0% (>71.87),-6.0% (<63.73)
3665,貿聯-KY,高,3,3,連續3日注意股（已達連續3日標準）,1720.0,+6.0% (>1791.40),-6.0% (<1588.60)
1735,日勝化,高,3,3,連續3日注意股（已達連續3日標準）,31.7,+6.0% (>33.34),-6.0% (<29.56)
3167,大量,高,5,3,連續3日注意股（已達連續3日標準）,357.0,+6.0% (>369.94),-6.0% (<328.06)
3437,榮創,高,4,4,連續4日注意股（已達連續3日標準）,24.75,+6.0% (>23.85),-6.0% (<21.15)
2455,全新,高,6,3,連續3日注意股（已達連續3日標準）,227.0,+6.0% (>241.15),-6.0% (<213.85)
3006,晶豪科,高,3,3,連續3日注意股（已達連續3日標準）,217.0,+6.0% (>226.31),-6.0% (<200.69)
3005,神基,高,3,3,連續3日注意股（已達連續3日標準）,131.5,+6.0% (>144.16),-6.0% (<127.84)
2618,長榮航,高,3,3,連續3日注意股（已達連續3日標準）,34.65,+6.0% (>37.63),-6.0% (<33.37)
2489,瑞軒,高,7,4,連續4日注意股（已達連續3日標準）,42.9,+6.0% (>41.34),-6.0% (<36.66)
2485,兆赫,高,8,4,連續4日注意股（已達連續3日標準）,80.1,+6.0% (>84.80),-6.0% (<75.20)
3037,欣興,高,7,3,連續3日注意股（已達連續3日標準）,581.0,+6.0% (>614.80),-6.0% (<545.20)
2367,燿華,高,7,4,連續4日注意股（已達連續3日標準）,72.1,+6.0% (>80.56),-6.0% (<71.44)
2368,金像電,高,3,3,連續3日注意股（已達連續3日標準）,1005.0,+6.0% (>972.02),-6.0% (<861.98)
6443,元晶,極高,10,7,連續7日注意股（已達連續3日標準）,49.4,+6.0% (>54.06),-6.0% (<47.94)
2243,宏旭-KY,極高,5,5,連續5日注意股（已達連續3日標準）,19.7,+6.0% (>21.73),-6.0% (<19.27)
2337,旺宏,極高,11,7,連續7日注意股（已達連續3日標準）,157.0,+6.0% (>152.11),-6.0% (<134.89)
6861,睿生光電,極高,8,5,連續5日注意股（已達連續3日標準）,162.5,+6.0% (>171.19),-6.0% (<151.81)
6830,汎銓,極高,6,6,連續6日注意股（已達連續3日標準）,419.0,+6.0% (>407.57),-6.0% (<361.43)
6715,嘉基,極高,9,8,連續8日注意股（已達連續3日標準）,357.0,+6.0% (>349.80),-6.0% (<310.20)
3054,立萬利,極高,11,8,連續8日注意股（已達連續3日標準）,86.0,+6.0% (>95.72),-6.0% (<84.88)
2426,鼎元,極高,8,8,連續8日注意股（已達連續3日標準）,34.7,+6.0% (>40.65),-6.0% (<36.05)
6230,尼得科超眾,極高,5,5,連續5日注意股（已達連續3日標準）,180.0,+6.0% (>183.38),-6.0% (<162.62)
2467,志聖,極高,5,5,連續5日注意股（已達連續3日標準）,371.5,+6.0% (>425.06),-6.0% (<376.94)
2486,一詮,極高,5,5,連續5日注意股（已達連續3日標準）,161.0,+6.0% (>172.78),-6.0% (<153.22)
5521,工信,極高,5,5,連續5日注意股（已達連續3日標準）,13.75,+6.0% (>14.84),-6.0% (<13.16)
4960,誠美材,極高,7,7,連續7日注意股（已達連續3日標準）,25.9,+6.0% (>28.62),-6.0% (<25.38)
3189,景碩,極高,9,5,連續5日注意股（已達連續3日標準）,383.5,+6.0% (>387.43),-6.0% (<343.57)
8271,宇瞻,極高,7,7,連續7日注意股（已達連續3日標準）,208.5,+6.0% (>216.77),-6.0% (<192.23)
