股票代碼,公司名稱,公司產業,上市櫃,prev_body,avg_volume_5d,foreign_yesterday,foreign_3days,trust_yesterday,trust_3days
1101,台泥,水泥工業,上市,0.5500000000000007,64006.41559999999,-37248.57,-56160.33,-200.0,-245.0
1102,亞泥,水泥工業,上市,0.25,10003.932,-2054.16,-14052.94,-1902.44,-5428.36
1103,嘉泥,水泥工業,上市,0.05000000000000071,296.7034,10.78,-16.22,0.0,0.0
1104,環泥,水泥工業,上市,0.10000000000000142,486.10119999999995,-41.28,-409.28,0.0,0.0
1108,幸福,水泥工業,上市,0.049999999999998934,359.46720000000005,-14.0,-61.0,0.0,0.0
1109,信大,水泥工業,上市,0.0,144.60840000000002,-14.0,-100.0,0.0,0.0
1110,東泥,水泥工業,上市,0.1999999999999993,388.8214,12.0,-83.0,0.0,0.0
1201,味全,食品工業,上市,0.09999999999999964,386.2224,96.0,-59.0,0.0,0.0
1203,味王,食品工業,上市,0.10000000000000142,15.3188,-1.0,-20.0,0.0,0.0
1210,大成,食品工業,上市,0.19999999999999574,1329.271,555.37,936.42,-259.0,-338.0
1213,大飲,食品工業,上市,0.0,21.6758,0.0,0.0,0.0,0.0
1215,卜蜂,食品工業,上市,3.0,1335.231,-94.0,204.73,-107.0,-234.0
1216,統一,食品工業,上市,0.5,9938.7248,-306.91,-3049.33,-1873.54,-4149.96
1217,愛之味,食品工業,上市,0.0,752.4638,191.0,253.0,0.0,0.0
1218,泰山,食品工業,上市,0.09999999999999787,622.5219999999999,124.0,-26.0,0.0,0.0
1219,福壽,食品工業,上市,0.09999999999999964,324.27619999999996,66.01,143.97,0.0,0.0
1220,台榮,食品工業,上市,0.3000000000000007,662.4183999999999,7.0,-63.0,0.0,0.0
1225,福懋油,食品工業,上市,0.14999999999999858,166.7934,-27.05,-6.05,0.0,0.0
1227,佳格,食品工業,上市,0.0,1084.0954,-173.0,-774.0,0.0,0.0
1229,聯華,食品工業,上市,0.25,1518.2182,358.08,-111.67,0.0,2.0
1231,聯華食,食品工業,上市,0.5,375.763,98.86,-98.24,0.0,0.0
1232,大統益,食品工業,上市,1.5,60.029999999999994,25.0,15.0,0.0,0.0
1233,天仁,食品工業,上市,0.19999999999999574,20.2994,0.0,-8.0,0.0,0.0
1234,黑松,食品工業,上市,0.04999999999999716,123.94099999999999,-8.0,-71.0,0.0,0.0
1235,興泰,食品工業,上市,1.0499999999999972,33.2736,-5.38,-46.4,0.0,0.0
1236,宏亞,食品工業,上市,0.6000000000000014,73.2158,14.0,2.0,0.0,0.0
1240,茂生農經,農業科技業,上櫃,0.5,20.5084,-4.0,-4.0,0.0,0.0
1256,鮮活果汁-KY,食品工業,上市,0.5,70.85600000000001,-4.75,10.35,0.0,0.0
1259,安心,觀光餐旅,上櫃,0.20000000000000284,6.939400000000001,-1.0,-4.0,0.0,0.0
1264,德麥,食品工業,上櫃,1.5,14.771200000000002,-6.0,-9.0,0.0,0.0
1268,漢來美食,觀光餐旅,上櫃,1.0,44.20540000000001,3.0,2.0,0.0,0.0
1294,漢田生技,食品工業,上櫃,0.29999999999999716,35.78699999999999,1.0,4.0,0.0,0.0
1301,台塑,塑膠工業,上市,1.3000000000000043,31091.4484,20537.93,18145.85,-0.1,-454.7
1303,南亞,塑膠工業,上市,1.0,250269.9676,29734.67,32470.84,795.66,-3827.25
1304,台聚,塑膠工業,上市,0.10000000000000142,4172.2428,-133.42,-2002.42,0.0,0.0
1305,華夏,塑膠工業,上市,0.0,4302.676,183.52,-454.48,0.0,0.0
1307,三芳,塑膠工業,上市,0.5,715.346,364.0,181.0,0.0,-49.0
1308,亞聚,塑膠工業,上市,0.05000000000000071,1682.223,133.34,-427.66,0.0,0.0
1309,台達化,塑膠工業,上市,0.05000000000000071,1033.1936,85.32,53.32,0.0,0.0
1310,台苯,塑膠工業,上市,0.02000000000000135,3200.9341999999997,-174.0,-1697.02,0.0,0.0
1312,國喬,塑膠工業,上市,0.5,11240.318000000001,602.99,1185.99,0.0,0.0
1313,聯成,塑膠工業,上市,0.15000000000000036,3535.0600000000004,60.09,-2844.91,0.0,0.0
1314,中石化,塑膠工業,上市,0.0,21046.651800000003,6313.33,-2595.06,0.0,0.0
1315,達新,塑膠工業,上市,0.3999999999999915,34.6722,-2.5,-3.5,0.0,0.0
1316,上曜,建材營造業,上市,0.09999999999999964,3432.7480000000005,-1.0,256.0,-175.0,-540.0
1319,東陽,汽車工業,上市,1.0,7770.908799999999,-660.39,-1621.14,-6.95,176.78
1321,大洋,塑膠工業,上市,0.14999999999999858,233.2078,28.0,82.0,0.0,0.0
1323,永裕,塑膠工業,上市,0.29999999999999716,81.88,1.0,-22.0,0.0,0.0
1324,地球,塑膠工業,上市,0.25,101.10340000000001,10.0,9.0,0.0,0.0
1325,恆大,塑膠工業,上市,0.15000000000000213,445.23940000000005,-25.0,-146.0,0.0,0.0
1326,台化,塑膠工業,上市,0.8500000000000014,21443.853,9269.47,12925.1,0.0,-30.0
1336,台翰,電子零組件業,上櫃,0.25,389.9624,-12.0,-32.0,0.0,0.0
1337,再生-KY,塑膠工業,上市,0.0,1069.902,-8.03,-37.03,0.0,0.0
1338,廣華-KY,汽車工業,上市,0.14999999999999858,190.5568,-3.0,-31.0,0.0,0.0
1339,昭輝,汽車工業,上市,0.6000000000000014,224.00019999999995,2.0,-11.0,0.0,0.0
1340,勝悅-KY,塑膠工業,上市,0.02999999999999936,283.77439999999996,-120.0,-160.0,0.0,0.0
1341,富林-KY,塑膠工業,上市,0.10000000000000142,8.9742,-0.05,-4.05,0.0,0.0
1342,八貫,其他業,上市,0.3999999999999915,170.9042,59.4,131.4,0.0,0.0
1402,遠東新,紡織纖維,上市,0.05000000000000071,8365.032000000001,2521.53,5366.6,-156.0,-3621.23
1409,新纖,紡織纖維,上市,0.09999999999999964,5386.3967999999995,-764.06,-3645.06,0.0,0.0
1410,南染,紡織纖維,上市,0.0,218.23760000000001,-2.0,0.0,0.0,0.0
1413,宏洲,紡織纖維,上市,0.1800000000000015,32.923,-1.0,-2.0,0.0,0.0
1414,東和,紡織纖維,上市,0.4499999999999993,407.3256,-19.0,-11.0,-54.0,-165.0
1416,廣豐,其他業,上市,0.0,274.48920000000004,3.0,-41.0,0.0,0.0
