CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
77131,威力德生醫一,69.5,69.6,100,-0.14,已發行CB
45554,氣立四,42.8,42.9,100,-0.23,已發行CB
66241,萬年清一,40.5,40.6,31,-0.25,已發行CB
41237,晟德七,39.15,39.3,62.98,-0.38,已發行CB
66034,富強鑫四,26.75,26.63,100,0.45,已發行CB
62236,旺矽六,6245.0,6201.8,100,0.7,已發行CB
84113,福貞三KY,13.1,13.2,100,-0.76,已發行CB
68211,聯寶一,42.6,42.19,41.5,0.97,已發行CB
24023,毅嘉三,54.0,53.3,100,1.31,已發行CB
69041,伯鑫一,123.0,124.7,100,-1.36,已發行CB
41236,晟德六,39.15,38.6,90.89,1.42,已發行CB
33035,岱稜五,54.9,55.7,100,-1.44,已發行CB
66702,復盛應用二,258.5,254.5,100,1.57,已發行CB
52845,jpp五KY,313.0,318.5,100,-1.73,已發行CB
12561,鮮活果汁一KY,186.0,182.5,99.15,1.92,已發行CB
61794,亞通四,27.65,28.2,99.23,-1.95,已發行CB
69131,鴻呈一,126.5,123.7,100,2.26,已發行CB
61011,寬魚國際一,36.05,36.9,96.8,-2.3,已發行CB
55344,長虹四,78.1,80.0,100,-2.38,已發行CB
33902,旭軟二,23.6,24.2,100,-2.48,已發行CB
30454,台灣大四,110.5,113.5,99.71,-2.64,已發行CB
27271,王品一,224.0,218.2,99.99,2.66,已發行CB
36913,碩禾三,114.5,118.0,100,-2.97,已發行CB
81473,正淩三,125.5,129.4,99.6,-3.01,已發行CB
84762,台境二,20.1,19.5,90.08,3.08,已發行CB
36841,榮昌一,50.0,48.4,95.27,3.31,已發行CB
30455,台灣大五,110.5,106.9,100,3.37,已發行CB
53097,系統電七,52.7,54.6,99.08,-3.48,已發行CB
61777,達麗七,47.75,46.1,99.9,3.58,已發行CB
22283,劍麟三,78.0,80.91,92.90,-3.6,已發行CB
35122,皇龍二,19.75,20.5,100,-3.66,近期上市
30954,及成四,38.0,39.5,100,-3.8,已發行CB
84423,威宏三KY,44.15,42.5,100,3.88,已發行CB
62822,康舒二,48.0,46.1,99.92,4.12,已發行CB
64251,易發一,55.5,57.9,15.55,-4.15,已發行CB
14722,三洋實業二,88.0,91.9,100,-4.24,已發行CB
811211,至上11,86.2,90.1,100,-4.33,已發行CB
41684,醣聯四,22.85,23.91,100,-4.43,已發行CB
45811,光隆精密一KY,51.0,53.4,100,-4.49,已發行CB
35161,亞帝歐一,27.05,25.81,100,4.8,已發行CB
