股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2330,台積電,15234,45678,78901,5,1234,3456,5678,4
2454,聯發科,8765,23456,34567,5,567,1234,2345,3
2317,鴻海,12345,34567,45678,4,234,567,890,2
3008,大立光,5678,12345,23456,5,890,2345,3456,5
2382,廣達,6789,18901,29012,5,345,890,1234,3
2881,富邦金,4567,13456,22345,4,678,1567,2456,4
2412,中華電,3456,10234,18901,5,123,456,789,2
2303,聯電,7890,21234,32345,5,456,1123,1890,4
6505,台塑化,2345,7890,12345,3,234,678,1012,3
2892,第一金,3210,9876,15678,4,345,890,1345,3
